Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2024-04-01,26002,1,Depot,00:58:19,48.8,71.2,0.0,0.0,1.1,0.0,100.3
2024-04-01,26003,1,Depot,00:22:07,61.6,71.2,0.0,0.0,0.4,0.0,44.7
2024-04-01,26003,2,Depot,02:02:38,42.0,90.0,0.0,0.0,2.5,0.0,774.6
2024-04-01,26005,1,Depot,02:16:42,54.0,93.2,0.0,0.0,2.4,0.0,187.4
2024-04-01,26005,2,Depot,01:56:36,82.0,93.6,0.0,0.0,2.25,1.25,56.7
2024-04-01,26006,1,Depot,04:37:26,57.6,93.6,0.6,0.0,6.8,0.0,172.0
2024-04-01,26008,1,Depot,01:53:35,60.0,87.6,0.0,0.0,2.5,0.0,130.2
2024-04-01,26008,2,Depot,02:28:45,59.6,89.2,0.0,0.0,2.95,0.0,140.4
2024-04-01,26009,1,Depot,02:51:52,52.8,93.6,0.0,0.0,4.3,0.0,174.5
2024-04-01,26010,1,Depot,02:43:50,60.4,92.4,0.05,0.0,2.8,0.0,154.4
2024-04-01,26011,1,Depot,00:31:10,60.0,72.8,0.0,0.0,0.5,0.0,58.8
2024-04-01,26011,2,Depot,04:04:15,73.6,93.6,0.0,0.0,3.95,0.0,99.49999999999999
2024-04-01,26013,1,Depot,01:33:29,74.8,93.2,0.0,0.0,2.65,2.1,91.5
2024-04-01,26013,2,Depot,02:50:52,69.6,94.0,0.05,0.0,3.05,0.0,119.3
2024-04-01,26014,1,Depot,07:17:14,93.6,93.6,0.0,0.0,11.55,0.0,2.0
2024-04-01,26014,2,Depot,01:54:36,48.0,90.0,0.0,0.0,3.1,0.0,160.3
2024-04-01,26016,1,Depot,03:02:57,56.0,93.6,0.0,0.0,3.25,0.0,184.0
2024-04-01,26017,1,Depot,07:13:12,93.6,93.6,0.05,0.0,7.4,0.0,0.9000000000000057
2024-04-01,26017,2,Depot,02:25:45,72.8,93.6,0.0,0.0,2.55,1.1,104.9
2024-04-01,26017,3,Depot,01:44:33,76.0,93.6,0.0,0.0,1.8,0.0,88.1
2024-04-02,26002,1,Depot,00:43:14,57.6,76.8,0.0,0.0,0.9,0.0,89.4
2024-04-02,26003,1,Depot,01:08:21,42.8,71.6,0.0,0.0,2.35,11.0,129.6
2024-04-02,26003,2,Depot,04:08:16,50.8,93.2,0.05,0.0,6.95,9.25,191.2
2024-04-02,26005,1,Depot,00:19:06,48.4,56.8,0.0,0.0,0.55,0.0,38.2
2024-04-02,26005,2,Depot,04:00:13,35.2,92.4,0.0,0.0,4.9,0.0,267.5
2024-04-02,26006,1,Depot,01:02:19,53.2,69.2,0.15,0.0,1.7,1.8,76.5
2024-04-02,26006,2,Depot,04:48:29,55.6,93.2,0.6499999999999999,0.0,7.8,5.3,179.9
2024-04-02,26008,1,Depot,01:06:21,84.0,92.4,0.0,0.0,2.45,4.25,38.7
2024-04-02,26008,2,Depot,04:48:28,58.4,93.6,0.05,0.0,6.0,0.0,164.0
2024-04-02,26009,1,Depot,06:49:06,40.8,93.6,0.05,0.0,10.35,0.0,250.3
