Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2025-08-01,26003,1,Depot,02:51:54,60.4,91.2,0.0,0.75,3.95,0.0,127.8
2025-08-01,26005,1,Depot,01:25:28,51.6,86.4,0.0,0.0,2.05,0.0,164.2
2025-08-01,26006,1,Depot,02:39:50,76.0,93.6,0.1,0.05,4.5,0.0,80.2
2025-08-01,26009,1,Depot,00:19:06,93.6,93.6,0.0,0.0,0.4000000000000004,0.0,0.8000000000000114
2025-08-01,26009,2,Depot,00:44:14,86.8,90.8,0.0,0.0,1.05,0.0,3.6
2025-08-01,26009,3,Depot,01:04:22,58.0,80.4,0.0,0.5,1.95,0.0,101.8
2025-08-01,26010,1,Depot,05:13:38,74.8,93.6,0.05,0.0,5.350000000000001,0.0,88.30000000000001
2025-08-01,26010,2,Depot,02:05:39,59.2,93.6,0.0,0.0,2.4,0.0,163.7
2025-08-01,26011,1,Depot,05:11:35,75.2,93.6,0.05,0.0,5.3,0.0,68.3
2025-08-01,26011,2,Depot,00:44:14,74.0,89.2,0.0,0.0,0.9,0.0,70.9
2025-08-01,26012,1,Depot,02:54:06,66.8,93.6,0.0,0.0,3.05,0.0,118.9
2025-08-01,26013,1,Depot,03:05:57,65.6,92.8,0.0,0.0,5.2,2.05,131.4
2025-08-01,26014,1,Depot,05:26:40,56.4,93.6,0.0,0.0,7.75,0.0,96.7
2025-08-01,26014,2,Depot,02:00:37,60.4,90.8,0.0,0.2,3.75,0.0,143.9
2025-08-01,26016,1,Depot,00:04:01,53.6,55.6,0.0,0.0,0.1,0.0,8.200000000000001
2025-08-02,26005,1,Depot,08:21:34,86.8,93.6,0.2,0.0,8.1,0.0,16.69999999999999
2025-08-02,26010,1,Depot,08:20:35,93.6,93.6,0.05,0.0,7.649999999999999,0.0,3.0
2025-08-02,26010,2,Depot,02:39:51,67.2,93.6,0.0,0.0,2.5,0.0,96.2
2025-08-02,26011,1,Depot,00:57:18,72.4,88.8,0.0,0.0,1.15,0.0,77.5
2025-08-02,26014,1,Depot,04:25:22,60.0,93.6,0.0,0.0,6.350000000000001,0.0,128.4
2025-08-02,26016,1,Depot,00:05:01,93.2,93.2,0.0,0.0,0.1000000000000001,0.0,0.2999999999999972
2025-08-03,26011,1,Depot,16:14:58,68.0,93.6,0.05,0.0,15.9,0.0,115.4
2025-08-03,26013,1,Depot,01:38:29,60.4,91.6,0.0,0.0,1.95,0.0,149.8
