Date,Bus,ID,Duration,Start Time,End Time,Air Compressor Energy [kWh],Rear HVAC Energy [kWh],LV Access. Energy [kWh],Electric Heater Energy [kWh],Traction Energy [kWh],Energy Used [kWh],Mileage [miles],Average Speed [mph],SOC Start [%],SOC End [%],Regen Energy [kWh],Net Energy Consumption [kWh/mile],Average Power Consumption [kW],Average Temperature [°F]
2022-12-01,26002,1,00:14:05,08:23 AM,08:37 AM,0.1,0,0.8500000000000001,4.550000000000001,12.6,19.6,8.15549437499999,34.74530147928989,90.4,86.4,3.3,2.403287783519565,83.50295857988166,34.35799989700318
2022-12-01,26002,2,02:20:44,10:36 AM,12:57 PM,2.249999999999999,0,4.850000000000004,15.25000000000002,38.79999999999995,61.6,32.85499162500014,14.00733892112749,82.8,69.6,23.2,1.874905363029437,26.2624348649929,39.69136156528558
2022-12-03,26002,1,00:17:06,07:49 AM,08:06 AM,0.15,0,0.7500000000000001,4.6,14.6,22.5,9.553579124999942,33.52133026315769,92.4,88.0,3.1,2.355138289598888,78.94736842105264,52.10600013732912
2022-12-03,26002,2,00:09:02,08:27 AM,08:36 AM,0.09999999999999998,0,0.3999999999999999,2.749999999999998,2.6,6.599999999999998,1.864113000000089,12.3815623616242,88.0,86.4,1.099999999999999,3.54055789536347,43.83763837638375,52.1060001373291
2022-12-03,26002,3,00:42:37,09:19 AM,10:02 AM,0.4500000000000001,0,1.249999999999996,3.600000000000001,6.20000000000001,11.70000000000002,5.359324874999857,7.545392862729559,85.6,83.2,4.799999999999997,2.183110797141279,16.47242862729765,52.99679122303812
2022-12-03,26002,4,00:25:08,01:18 PM,01:44 PM,0.25,0,0.6999999999999984,0.0,14.70000000000002,16.7,10.01960737500008,23.9194871021222,82.4,78.4,4.499999999999993,1.666731976111975,39.86737400530505,55.23799972534177
2022-12-06,26002,1,00:21:07,07:21 AM,07:43 AM,0.25,0,1.15,7.250000000000001,13.9,25.1,9.242893624999851,26.26236546961284,93.2,88.0,3.0,2.715599791401949,71.31807419100237,38.69600005149843
2022-12-06,26002,2,02:16:41,07:51 AM,10:08 AM,2.3,0,5.899999999999997,21.75,24.70000000000001,63.90000000000001,20.9712712500002,9.20577691744918,88.0,74.4,17.60000000000001,3.047025582676558,28.050237775881,41.2516059784995
2022-12-06,26002,3,02:11:41,10:17 AM,12:28 PM,2.049999999999992,0,4.500000000000054,13.09999999999997,25.79999999999997,44.8,22.83538424999983,10.40468083786855,74.4,64.8,19.90000000000002,1.961867578383329,20.4126059992406,47.86836380958567
2022-12-06,26002,4,00:18:06,12:45 PM,01:03 PM,0.09999999999999876,0,0.650000000000011,2.249999999999993,12.30000000000001,15.10000000000011,9.708921874999987,32.18427140883973,64.4,60.8,3.799999999999997,1.555270522763387,50.05524861878489,52.19600048065184
2022-12-08,26002,1,00:21:06,07:19 AM,07:40 AM,0.3,0,1.1,6.9,13.4,24.0,9.087550875000034,25.84137689573469,92.0,86.8,3.3,2.640975586285223,68.24644549763033,45.53599996566774
2022-12-08,26002,2,03:36:08,07:55 AM,11:31 AM,4.299999999999999,0,7.800000000000001,20.35,33.59999999999999,67.20000000000002,28.27238050000005,7.848594216533019,86.0,72.0,28.0,2.376878027656705,18.65515114127082,48.97600021362314
