Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2023-12-01,26003,1,Depot,03:10:59,57.6,93.6,0.05,0.0,3.65,0.0,154.3
2023-12-01,26005,1,Depot,03:26:03,48.8,92.8,0.0,0.0,3.7,0.0,209.5
2023-12-01,26006,1,Depot,05:43:46,92.8,92.8,0.6000000000000001,0.0,5.9,0.0,0.5
2023-12-01,26006,2,Depot,01:13:23,84.8,90.8,0.1,0.0,1.85,1.75,31.2
2023-12-01,26008,1,Depot,00:15:04,56.0,62.8,0.0,0.0,0.3,0.0,30.7
2023-12-01,26008,2,Depot,03:38:07,63.6,93.6,0.05,0.0,3.65,0.0,147.6
2023-12-01,26009,1,Depot,01:02:19,57.6,79.6,0.0,0.0,2.1,2.4,104.0
2023-12-01,26009,2,Depot,01:59:37,58.0,93.6,0.0,0.0,3.1,0.0,169.7
2023-12-01,26010,1,Depot,01:15:23,61.2,89.2,0.05,0.0,1.35,0.0,137.3
2023-12-01,26010,2,Depot,01:05:20,72.4,90.8,0.05,0.0,1.15,0.0,89.5
2023-12-01,26011,1,Depot,02:02:37,32.8,87.2,0.0,0.0,2.75,0.0,248.9
2023-12-01,26012,1,Depot,00:41:13,67.6,76.8,0.09999999999999999,0.0,2.55,5.45,44.0
2023-12-01,26012,2,Depot,05:31:42,42.0,93.6,0.5,0.0,6.1,0.0,237.1
2023-12-01,26013,1,Depot,05:43:47,92.8,93.6,0.1,0.0,6.1,0.0,3.400000000000006
2023-12-01,26013,2,Depot,04:58:32,50.0,93.6,0.05,0.0,5.350000000000001,1.6,210.7
2023-12-01,26016,1,Depot,03:51:11,48.0,93.6,0.05,0.0,4.4,0.0,217.1
2023-12-01,26017,1,Depot,03:00:55,59.6,92.8,0.0,0.0,7.95,7.5,159.7
2023-12-02,26016,1,Depot,10:29:21,68.4,93.6,0.05,0.0,18.45,8.9,126.7
2023-12-03,26009,1,Depot,08:13:32,41.2,93.6,0.0,0.0,12.65,0.0,233.7
