Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2025-02-01,26002,1,Depot,00:24:08,67.2,74.8,0.05,0,0.3999999999999999,0.0,34.39999999999999
2025-02-01,26002,2,Depot,02:05:43,40.4,91.6,0.1,0,2.55,0.0,237.3
2025-02-01,26003,1,Depot,23:56:19,84.8,93.6,0.2,0,25.8,0.0,50.0
2025-02-01,26005,1,Depot,08:38:40,93.6,93.6,0.15,0,8.8,0.0,3.399999999999977
2025-02-01,26005,2,Depot,08:50:45,60.4,93.6,0.15,0,9.549999999999999,0.0,160.6
2025-02-01,26006,1,Depot,14:22:26,93.6,94.0,0.7999999999999999,0,20.3,0.0,4.300000000000011
2025-02-01,26006,2,Depot,01:51:35,53.6,90.8,0.15,0,2.05,0.0,177.8
2025-02-01,26008,1,Depot,07:58:27,92.0,94.0,0.1,0,8.049999999999999,0.0,5.099999999999994
2025-02-01,26008,2,Depot,06:17:56,40.8,94.0,0.1,0,8.9,0.0,250.7
2025-02-01,26009,1,Depot,10:06:05,66.0,93.6,0.1,0,14.35,0.0,111.7
2025-02-01,26009,2,Depot,08:29:33,52.8,93.2,0.15,0,13.8,0.0,161.0
2025-02-01,26010,1,Depot,14:23:26,93.2,93.6,0.05,0,14.8,0.0,3.199999999999999
2025-02-01,26010,2,Depot,01:46:32,49.2,70.8,0.05,0,2.1,0.0,101.6
2025-02-01,26012,1,Depot,00:05:02,93.2,93.6,0.0,0,0.1000000000000005,0.0,1.299999999999983
2025-02-01,26012,2,Depot,01:50:34,58.4,90.8,0.0,0,2.8,0.0,155.7
2025-02-01,26012,3,Depot,01:04:21,79.2,90.4,0.05,0,1.7,0.7,55.4
2025-02-01,26014,1,Depot,11:25:31,93.6,93.6,0.0,0,18.2,0.0,3.200000000000017
2025-02-01,26014,2,Depot,01:19:25,85.2,92.8,0.0,0,2.25,0.0,30.0
2025-02-01,26014,3,Depot,03:29:04,77.6,93.6,0.05,0,6.25,0.0,66.9
2025-02-01,26016,1,Depot,07:30:26,93.6,93.6,0.1,0,7.600000000000001,0.0,3.100000000000001
2025-02-01,26016,2,Depot,00:09:03,93.6,93.6,0.0,0,0.1999999999999993,0.0,0.1000000000000014
2025-02-01,26016,3,Depot,00:55:17,93.6,94.0,0.0,0,1.0,0.0,1.800000000000001
2025-02-01,26016,4,Depot,03:47:14,94.0,94.0,0.0,0,4.1,0.0,2.600000000000001
2025-02-01,26016,5,Depot,00:05:02,93.6,93.6,0.0,0,0.04999999999999893,0.0,0.0
2025-02-01,26016,6,Depot,02:36:52,93.6,93.6,0.0,0,2.850000000000001,0.0,2.600000000000001
2025-02-01,26016,7,Depot,00:06:02,93.6,93.6,0.0,0,0.1000000000000014,0.0,0.1000000000000014
2025-02-01,26016,8,Depot,00:14:05,93.6,93.6,0.0,0,0.1999999999999993,0.0,0.1999999999999993
2025-02-01,26016,9,Depot,00:13:04,93.6,93.6,0.0,0,0.2000000000000028,0.0,0.1999999999999993
2025-02-01,26016,10,Depot,06:40:11,93.6,93.6,0.04999999999999999,0,10.05,0.85,3.800000000000001
2025-02-02,26002,1,Depot,05:40:57,93.6,93.6,0.4,0,6.499999999999999,0.0,2.5
2025-02-02,26002,2,Depot,00:15:06,92.8,93.6,0.0,0,0.45,0.0,4.3
2025-02-02,26002,3,Depot,04:47:38,93.6,93.6,0.2,0,8.25,3.75,2.5
2025-02-02,26003,1,Depot,05:30:42,93.6,93.6,0.04999999999999999,0,6.449999999999996,0.0,4.099999999999994
2025-02-02,26003,2,Depot,08:46:42,91.6,93.6,0.05,0,10.2,0.0,9.9
2025-02-02,26005,1,Depot,08:39:39,93.6,93.6,0.15,0,10.05,0.0,3.799999999999983
2025-02-02,26005,2,Depot,09:06:55,77.2,94.0,0.1,0,10.65,0.0,75.1
2025-02-02,26006,1,Depot,09:30:55,90.8,93.6,0.9999999999999999,0,10.7,0.0,10.89999999999998
2025-02-02,26006,2,Depot,03:08:59,93.2,93.6,0.25,0,5.45,2.65,3.4
2025-02-02,26006,3,Depot,03:27:05,79.6,93.6,0.25,0,6.65,10.1,70.89999999999999
2025-02-02,26008,1,Depot,09:28:55,94.0,93.6,0.04999999999999999,0,10.9,0.0,8.800000000000011
2025-02-02,26008,2,Depot,00:14:04,62.0,64.4,0.0,0,0.4,0.0,11.8
2025-02-02,26008,3,Depot,08:22:34,64.8,94.0,0.05,0,10.5,0.0,144.3
2025-02-02,26009,1,Depot,08:26:30,93.6,93.6,0.35,0,13.15,0.0,4.099999999999994
2025-02-02,26009,2,Depot,06:28:58,51.6,93.6,0.15,0,12.05,0.15,189.1
2025-02-02,26010,1,Depot,09:30:56,72.0,94.0,0.05,0,10.65,0.0,104.6
2025-02-02,26010,2,Depot,00:06:02,93.6,93.6,0.0,0,0.15,0.0,0.2
2025-02-02,26010,3,Depot,01:30:29,52.0,85.2,0.0,0,1.65,0.0,158.6
2025-02-02,26012,1,Depot,05:55:51,53.6,94.0,0.05,0,8.35,0.15,187.2
2025-02-02,26012,2,Depot,06:44:09,29.2,94.0,0.05,0,10.3,0.0,266.5
2025-02-02,26014,1,Depot,09:32:55,93.6,94.0,0.05,0,16.4,0.0,4.399999999999999
2025-02-02,26014,2,Depot,08:26:36,53.6,93.6,0.05,0,13.95,0.05,155.4
2025-02-02,26016,1,Depot,05:40:52,93.6,94.0,0.1,0,6.5,0.0,3.900000000000002
2025-02-02,26016,2,Depot,02:01:39,94.0,94.0,0.0,0,2.399999999999999,0.0,1.5
2025-02-02,26016,3,Depot,00:15:06,60.4,68.0,0.0,0,0.35,0.0,28.6
2025-02-02,26016,4,Depot,01:18:26,62.8,88.8,0.0,0,1.45,0.0,100.7
2025-02-02,26016,5,Depot,00:23:08,89.6,90.4,0.0,0,0.3999999999999999,0.0,2.799999999999997
2025-02-02,26016,6,Depot,00:07:03,90.4,90.4,0.0,0,0.1499999999999999,0.0,0.4000000000000057
2025-02-02,26016,7,Depot,00:30:10,90.4,93.6,0.05,0,0.5500000000000003,0.0,0.2999999999999972
2025-02-03,26002,1,Depot,01:08:24,93.6,94.0,0.0,0,1.1,0.0,2.600000000000023
2025-02-03,26003,1,Depot,05:41:45,94.0,93.6,0.0,0,6.299999999999999,0.0,3.600000000000001
2025-02-03,26003,2,Depot,00:39:12,53.6,71.6,0.0,0,0.75,0.0,81.8
2025-02-03,26003,3,Depot,03:41:08,39.6,93.6,0.05,0,4.25,0.0,248.2
2025-02-03,26005,1,Depot,05:38:44,93.6,93.6,0.1,0,6.349999999999998,0.0,2.700000000000003
2025-02-03,26005,2,Depot,00:30:09,59.6,72.8,0.0,0,0.6,0.0,62.9
2025-02-03,26005,3,Depot,01:19:24,53.6,84.4,0.0,0,2.55,16.45,144.6
2025-02-03,26006,1,Depot,05:38:43,93.6,93.6,0.45,0,9.349999999999998,5.050000000000001,2.299999999999997
2025-02-03,26006,2,Depot,02:06:38,53.6,86.0,0.1,0,3.15,0.0,154.6
2025-02-03,26006,3,Depot,04:51:30,76.4,93.6,0.25,0,6.100000000000001,0.0,87.1
2025-02-03,26008,1,Depot,05:39:45,94.0,93.6,0.09999999999999999,0,6.149999999999999,0.0,3.300000000000011
2025-02-03,26008,2,Depot,01:12:23,58.4,81.6,0.0,0,1.8,0.0,110.0
2025-02-03,26009,1,Depot,02:15:42,64.8,92.8,0.1,0,4.100000000000001,0.0,135.4
2025-02-03,26009,2,Depot,00:31:10,63.6,73.6,0.0,0,0.95,0.0,46.5
2025-02-03,26009,3,Depot,00:24:07,62.0,71.6,0.0,0,0.7,0.0,44.8
2025-02-03,26009,4,Depot,03:46:09,51.6,94.0,0.0,0,5.600000000000001,0.05,189.4
2025-02-03,26010,1,Depot,05:10:35,86.4,93.6,0.05,0,5.45,0.0,36.10000000000002
2025-02-03,26010,2,Depot,01:17:24,60.4,90.0,0.0,0,1.4,0.0,142.4
2025-02-03,26010,3,Depot,01:56:37,60.4,92.4,0.0,0,2.4,0.0,154.1
2025-02-03,26012,1,Depot,05:39:44,94.0,94.0,0.0,0,7.799999999999999,0.0,3.599999999999966
2025-02-03,26012,2,Depot,04:06:16,53.2,93.6,0.0,0,4.55,0.25,195.0
2025-02-03,26012,3,Depot,04:47:29,93.6,93.6,0.05,0,4.6,0.0,2.2
2025-02-03,26014,1,Depot,05:40:46,93.6,93.6,0.05,0,9.399999999999999,0.0,2.399999999999977
2025-02-03,26014,2,Depot,01:35:30,54.4,88.4,0.0,0,2.85,3.0,130.3
2025-02-03,26014,3,Depot,01:37:30,50.8,76.4,0.05,0,2.6,0.0,96.8
2025-02-03,26016,1,Depot,02:03:03,51.6,94.0,0.0,0,2.25,0.0,160.3
2025-02-03,26016,2,Depot,03:04:19,66.4,93.6,0.05,0,3.65,0.0,108.3
2025-02-03,26016,3,Depot,00:06:02,93.6,93.6,0.0,0,0.09999999999999964,0.0,0.0
2025-02-03,26016,4,Depot,05:19:45,93.6,93.6,0.05,0,5.600000000000001,0.0,3.800000000000011
2025-02-04,26002,1,Depot,03:16:07,94.0,93.6,0.1,0,3.35,0.0,3.699999999999989
2025-02-04,26003,1,Depot,05:01:32,93.6,93.6,0.0,0,5.3,0.0,3.099999999999994
2025-02-04,26003,2,Depot,00:44:13,60.0,78.8,0.0,0,1.25,2.1,87.8
2025-02-04,26003,3,Depot,01:46:34,36.0,83.6,0.0,0,2.35,0.0,219.2
2025-02-04,26005,1,Depot,01:33:30,56.8,87.6,0.0,0,1.65,0.0,149.7
2025-02-04,26005,2,Depot,01:57:37,60.8,92.8,0.0,0,2.05,0.0,155.7
2025-02-04,26005,3,Depot,05:44:46,86.4,93.6,0.1,0,8.899999999999999,3.1,36.0
2025-02-04,26006,1,Depot,04:55:32,93.6,93.6,0.3,0,4.95,0.0,2.0
2025-02-04,26006,2,Depot,01:16:24,62.0,90.4,0.05,0,1.9,0.0,136.9
2025-02-04,26006,3,Depot,03:39:08,71.6,93.6,0.25,0,6.350000000000001,24.5,107.9
2025-02-04,26008,1,Depot,01:48:33,46.4,85.2,0.15,0,2.7,0.0,184.1
2025-02-04,26008,2,Depot,01:56:36,47.6,86.0,0.0,0,3.4,1.85,182.9
2025-02-04,26009,1,Depot,05:00:31,94.0,93.6,0.1,0,7.100000000000001,0.0,3.399999999999977
2025-02-04,26009,2,Depot,01:37:29,44.4,70.8,0.05,0,3.0,0.5,99.1
2025-02-04,26010,1,Depot,04:52:31,92.4,93.6,0.05,0,5.899999999999999,0.0,4.300000000000011
2025-02-04,26010,2,Depot,01:36:30,68.4,92.4,0.0,0,1.7,0.0,117.5
2025-02-04,26010,3,Depot,02:04:38,55.6,92.8,0.05,0,2.45,0.0,175.2
2025-02-04,26012,1,Depot,04:55:35,93.6,93.6,0.0,0,4.949999999999999,0.0,2.4
2025-02-04,26012,2,Depot,01:50:35,65.2,93.2,0.0,0,2.7,0.0,134.5
2025-02-04,26012,3,Depot,04:49:32,72.4,93.6,0.0,0,8.25,0.1,105.3
2025-02-04,26014,1,Depot,04:57:31,77.6,93.6,0.09999999999999999,0,7.899999999999999,0.0,57.69999999999999
2025-02-04,26014,2,Depot,00:57:19,92.8,93.6,0.0,0,1.6,0.0,2.1
2025-02-04,26014,3,Depot,01:19:25,68.8,91.6,0.0,0,2.2,0.0,89.0
2025-02-04,26014,4,Depot,04:34:25,58.4,93.6,0.05,0,8.65,6.85,133.4
2025-02-04,26016,1,Depot,03:39:12,93.6,93.6,0.0,0,3.9,0.0,2.599999999999994
2025-02-04,26016,2,Depot,00:11:03,93.6,93.6,0.0,0,0.1999999999999993,0.0,0.09999999999999432
2025-02-04,26016,3,Depot,00:17:06,93.6,93.6,0.0,0,0.3000000000000007,0.0,0.2000000000000171
2025-02-04,26016,4,Depot,00:10:04,93.6,93.6,0.0,0,0.1999999999999993,0.0,0.09999999999999432
2025-02-04,26016,5,Depot,04:44:50,53.2,93.6,0.05,0,7.9,4.1,158.0
2025-02-04,26016,6,Depot,00:07:02,93.6,93.6,0.0,0,0.1000000000000005,0.0,0.0
2025-02-04,26016,7,Depot,00:04:01,93.6,93.6,0.0,0,0.1000000000000014,0.0,0.09999999999999432
2025-02-04,26016,8,Depot,04:01:56,93.6,93.6,0.05,0,6.300000000000001,2.2,3.099999999999994
