Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2026-01-02,26009,1,Depot,04:15:19,18.0,61.6,0.2,0,9.299999999999999,49.0,141.6
2026-01-02,26009,2,Depot,00:36:05,18.0,28.0,0.1,0,1.05,0.05,7.7
2026-01-02,26009,3,Depot,01:38:31,29.6,56.8,0.05,0,3.65,16.9,55.4
2026-01-03,26005,1,Depot,03:39:08,42.0,93.6,0.1,0,4.45,0.0,222.9
2026-01-03,26010,1,Depot,03:06:59,76.4,75.2,0.05,0,4.100000000000001,0.0,3.7
2026-01-03,26012,1,Depot,02:37:04,54.8,53.6,0.05,0,3.35,0.0,3.2
2026-01-03,26012,2,Depot,02:30:05,52.4,52.8,0.0,0,3.0,0.0,2.4
2026-01-03,26012,3,Depot,00:46:15,52.8,52.8,0.0,0,0.8999999999999999,0.0,0.6
2026-01-03,26012,4,Depot,01:43:26,51.2,52.0,0.0,0,2.1,0.0,1.2
2026-01-03,26012,5,Depot,00:11:34,50.4,50.4,0.0,0,0.6,0.0,0.6
2026-01-03,26012,6,Depot,00:09:00,47.2,47.2,0.0,0,0.2,0.0,0.2
2026-01-03,26012,7,Depot,00:33:02,47.2,47.2,0.0,0,0.65,0.0,0.4
2026-01-03,26012,8,Depot,02:14:33,48.0,64.8,0.0,0,3.45,0.0,63.9
2026-01-03,26013,1,Depot,02:06:38,33.2,85.2,0.05,0,2.5,0.0,239.7
2026-01-04,26003,1,Depot,03:43:19,39.2,74.0,0.04999999999999999,0,4.9,0.0,140.5
2026-01-04,26005,1,Depot,02:17:44,84.4,93.6,0.15,0,3.8,0.0,42.2
2026-01-04,26008,1,Depot,05:30:43,23.2,90.8,0.0,0,9.95,11.25,225.0
2026-01-04,26010,1,Depot,02:56:55,33.6,89.2,0.05,0,3.6,0.0,255.7
2026-01-04,26012,1,Depot,05:33:43,66.0,93.6,0.0,0,8.1,0.0,115.8
2026-01-04,26013,1,Depot,01:51:34,48.4,90.8,0.0,0,1.9,0.0,202.7
2026-01-05,26002,1,Depot,00:36:13,71.2,72.0,0.0,0,1.55,0.0,3.2
2026-01-05,26002,2,Depot,00:40:13,36.8,46.8,0.1,0,2.15,5.25,31.6
2026-01-05,26002,3,Depot,00:16:06,27.2,32.0,0.0,0,0.5499999999999999,0.7,14.9
2026-01-05,26002,4,Depot,01:47:36,27.2,58.4,0.3,0,2.9,5.35,102.4
2026-01-05,26002,5,Depot,02:24:51,34.4,73.6,0.3,0,2.25,0.0,133.3
2026-01-05,26003,1,Depot,01:27:28,34.4,58.4,0.0,0,1.800000000000001,0.0,104.1
2026-01-05,26003,2,Depot,03:35:06,43.6,74.8,0.0,0,3.25,0.0,108.6
2026-01-05,26005,1,Depot,02:35:49,40.0,86.8,0.05,0,4.4,12.7,216.9
2026-01-05,26005,2,Depot,00:29:09,76.4,86.8,0.0,0,0.6,0.0,51.1
2026-01-05,26005,3,Depot,01:32:29,49.6,88.8,0.0,0,1.95,0.0,183.2
2026-01-05,26008,1,Depot,00:16:05,36.4,42.0,0.0,0,0.6,0.55,19.9
2026-01-05,26008,2,Depot,03:04:56,43.2,93.2,0.0,0,5.15,5.1,212.1
2026-01-05,26009,1,Depot,00:05:00,55.2,54.8,0.05,0,0.2,0.0,0.3
2026-01-05,26010,1,Depot,00:26:08,59.2,69.2,0.0,0,0.7,0.9,45.0
2026-01-05,26010,2,Depot,02:08:40,54.8,90.4,0.0,0,3.45,3.3,168.1
2026-01-05,26010,3,Depot,00:59:18,68.0,86.0,0.0,0,1.05,0.0,86.5
2026-01-05,26012,1,Depot,00:27:03,54.4,56.8,0.0,0,0.75,0.0,10.7
2026-01-05,26012,2,Depot,00:53:02,54.4,67.2,0.0,0,1.3,0.0,58.7
2026-01-05,26012,3,Depot,02:58:53,23.2,83.6,0.05,0,5.55,6.9,283.2
2026-01-05,26013,1,Depot,00:47:14,44.0,65.6,0.0,0,1.0,0.0,97.9
2026-01-05,26013,2,Depot,02:28:47,49.2,93.2,0.05,0,3.9,11.1,208.4
2026-01-06,26003,1,Depot,01:22:26,25.2,49.6,0.05,0,1.55,0.0,100.7
2026-01-06,26003,2,Depot,00:52:16,49.6,63.6,0.0,0,1.0,0.0,59.4
2026-01-06,26003,3,Depot,02:30:46,48.0,73.2,0.09999999999999999,0,2.45,0.0,96.1
2026-01-06,26005,1,Depot,01:32:29,52.0,86.8,0.05,0,1.8,0.0,166.4
2026-01-06,26008,1,Depot,02:13:41,50.0,77.6,0.0,0,4.05,3.75,126.9
2026-01-06,26008,2,Depot,01:19:25,60.0,88.4,0.0,0,2.15,2.2,134.0
2026-01-06,26009,1,Depot,00:02:00,47.6,47.6,0.0,0,0.05,0.0,0.1
2026-01-06,26009,2,Depot,03:41:08,41.2,72.8,0.0,0,6.850000000000001,30.55,135.6
2026-01-06,26009,3,Depot,01:19:19,51.6,69.6,0.0,0,2.15,2.3,66.0
2026-01-06,26009,4,Depot,02:37:44,43.6,70.4,0.0,0,4.15,0.0,115.6
2026-01-06,26010,1,Depot,01:43:33,46.8,82.8,0.0,0,1.8,0.0,167.3
2026-01-06,26012,1,Depot,00:08:01,84.0,84.4,0.0,0,0.25,0.0,2.399999999999977
2026-01-06,26012,2,Depot,01:49:27,51.6,78.0,0.0,0,2.95,0.0,124.1
2026-01-06,26012,3,Depot,00:47:02,64.8,82.0,0.0,0,1.15,0.0,81.5
2026-01-06,26013,1,Depot,01:28:28,44.8,78.0,0.0,0,2.25,2.4,155.1
2026-01-07,26003,1,Depot,02:00:37,39.6,71.6,0.0,0,1.899999999999999,0.0,135.3
2026-01-07,26003,2,Depot,01:22:27,48.4,69.2,0.0,0,1.2,0.0,87.60000000000001
2026-01-07,26005,1,Depot,00:53:16,64.8,86.4,0.0,0,0.95,0.0,103.2
2026-01-07,26005,2,Depot,01:02:19,60.4,85.2,0.0,0,1.25,0.0,120.3
2026-01-07,26008,1,Depot,01:15:23,54.0,85.6,0.0,0,2.05,2.15,146.4
2026-01-07,26009,1,Depot,00:15:00,70.4,70.4,0.0,0,0.3999999999999995,0.0,0.1999999999999886
2026-01-07,26009,2,Depot,00:37:26,74.0,74.8,0.05,0,1.35,0.0,2.7
2026-01-07,26009,3,Depot,00:47:01,62.8,71.6,0.0,0,1.45,0.0,39.1
2026-01-07,26009,4,Depot,01:41:09,61.6,72.4,0.05,0,2.75,1.65,48.1
2026-01-07,26012,1,Depot,01:51:04,54.8,90.4,0.0,0,2.3,0.0,171.2
2026-01-07,26013,1,Depot,00:41:13,34.8,50.8,0.0,0,1.0,0.0,70.1
2026-01-07,26013,2,Depot,01:16:25,51.2,82.0,0.0,0,1.35,0.0,142.2
2026-01-07,26013,3,Depot,00:45:13,54.4,74.4,0.0,0,0.65,0.0,95.7
2026-01-07,26014,1,Depot,02:10:40,30.4,45.2,0.55,0,4.600000000000001,12.3,48.9
2026-01-08,26003,1,Depot,01:49:34,34.8,65.6,0.0,0,1.6,0.0,129.6
2026-01-08,26003,2,Depot,02:06:40,51.2,73.6,0.0,0,3.3,2.2,96.7
2026-01-08,26005,1,Depot,01:17:24,66.4,90.8,0.0,0,1.65,0.0,120.5
2026-01-08,26005,2,Depot,00:38:13,68.8,75.6,0.0,0,1.1,0.55,31.6
2026-01-08,26008,1,Depot,01:12:22,44.8,77.6,0.0,0,1.35,0.0,151.0
2026-01-08,26008,2,Depot,00:30:10,63.6,76.8,0.0,0,0.45,0.0,64.6
2026-01-08,26009,1,Depot,01:58:42,33.6,64.8,0.04999999999999982,0,3.099999999999998,0.0,129.5
2026-01-08,26009,2,Depot,04:20:17,51.2,74.8,0.25,0,7.1,0.0,105.8
2026-01-08,26010,1,Depot,05:35:44,16.0,66.0,0.0,0,9.1,29.45,198.8
2026-01-08,26012,1,Depot,01:26:06,55.6,85.6,0.15,0,2.55,7.95,144.5
2026-01-08,26012,2,Depot,00:29:20,62.8,75.6,0.0,0,0.6,0.0,60.1
2026-01-08,26012,3,Depot,00:24:01,73.6,83.2,0.0,0,0.4,0.0,46.2
2026-01-08,26012,4,Depot,01:52:33,57.2,89.2,0.0,0,2.7,0.0,153.0
2026-01-08,26013,1,Depot,00:42:13,63.6,81.6,0.0,0,0.6,0.0,84.9
2026-01-08,26013,2,Depot,01:23:26,55.6,78.0,0.05,0,1.25,0.0,104.8
2026-01-09,26003,1,Depot,02:40:50,32.8,74.0,0.09999999999999964,0,2.600000000000001,0.0,176.3
2026-01-09,26003,2,Depot,01:25:28,53.2,73.2,0.0,0,1.5,0.0,69.2
2026-01-09,26005,1,Depot,01:04:19,45.2,74.0,0.0,0,1.35,2.25,131.7
2026-01-09,26005,2,Depot,00:59:19,64.4,87.2,0.0,0,0.95,0.0,110.2
2026-01-09,26008,1,Depot,01:04:20,44.8,70.8,0.0,0,1.4,0.0,115.6
2026-01-09,26008,2,Depot,01:09:21,56.8,82.8,0.0,0,1.8,2.2,122.8
2026-01-09,26009,1,Depot,02:12:32,62.8,74.4,0.0,0,4.25,0.0,53.3
2026-01-09,26009,2,Depot,01:24:04,46.0,63.2,0.0,0,2.25,0.0,73.7
2026-01-09,26010,1,Depot,02:48:52,44.4,86.4,0.05,0,4.45,12.55,111.2
2026-01-09,26012,1,Depot,00:50:01,61.6,80.4,0.0,0,1.2,0.0,91.6
2026-01-09,26013,1,Depot,02:09:40,38.0,90.0,0.0,0,2.4,0.0,242.0
2026-01-10,26005,1,Depot,01:41:31,56.0,91.2,0.05,0,2.0,0.0,169.1
2026-01-10,26008,1,Depot,01:54:35,44.8,88.0,0.0,0,3.05,3.6,200.9
2026-01-10,26009,1,Depot,02:11:04,62.0,74.4,0.09999999999999999,0,3.8,0.0,56.6
2026-01-10,26010,1,Depot,02:24:46,51.6,86.0,0.0,0,4.5,16.9,155.3
2026-01-10,26012,1,Depot,01:13:22,56.8,83.2,0.0,0,1.95,0.05,126.7
2026-01-10,26012,2,Depot,01:08:03,52.0,76.8,0.0,0,1.7,0.0,116.7
2026-01-11,26003,1,Depot,00:38:11,48.8,53.2,0.09999999999999999,0,0.95,0.0,3.5
