Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2024-07-01,26003,1,Depot,01:13:22,55.2,82.4,0.0,0.0,1.6,0.0,129.0
2024-07-01,26004,1,Depot,06:14:54,93.6,93.6,0.1,0.0,5.9,0.0,2.099999999999994
2024-07-01,26004,2,Depot,04:47:28,56.0,94.0,0.05,0.0,4.95,0.0,179.6
2024-07-01,26005,1,Depot,04:24:21,52.0,93.6,0.0,0.0,5.35,0.0,182.8
2024-07-01,26006,1,Depot,01:43:32,93.6,93.6,0.15,0.0,2.35,0.0,0.0
2024-07-01,26006,2,Depot,02:53:53,48.8,92.8,0.2,0.0,4.35,0.0,207.0
2024-07-01,26008,1,Depot,06:17:56,93.2,93.6,0.0,0.0,5.65,0.0,2.900000000000006
2024-07-01,26008,2,Depot,00:25:08,65.6,76.0,0.0,0.75,0.95,0.55,49.3
2024-07-01,26008,3,Depot,00:34:10,72.0,86.0,0.0,0.0,0.95,0.55,68.3
2024-07-01,26009,1,Depot,04:42:28,58.4,93.6,0.0,0.0,6.600000000000001,0.0,171.3
2024-07-01,26010,1,Depot,01:52:35,50.8,77.6,0.05,0.0,2.25,0.0,127.0
2024-07-01,26011,1,Depot,06:14:54,91.6,92.0,0.05,0.0,6.1,0.0,0.2000000000000028
2024-07-01,26011,2,Depot,02:36:48,70.4,93.2,0.0,0.0,2.75,0.0,102.2
2024-07-01,26013,1,Depot,03:29:05,53.2,93.6,0.0,0.0,4.05,0.0,178.0
2024-07-01,26014,1,Depot,00:25:07,32.4,37.6,0.0,0.05,0.75,0.0,18.2
2024-07-01,26014,2,Depot,02:38:49,37.2,64.4,0.0,0.0,4.5,0.0,95.8
2024-07-01,26014,3,Depot,00:14:03,63.6,71.2,0.0,0.2,0.45,0.0,27.0
2024-07-01,26014,4,Depot,00:05:02,65.2,66.4,0.0,0.0,0.15,0.0,4.1
2024-07-01,26014,5,Depot,04:22:20,65.6,93.2,0.0,0.0,7.0,0.0,120.2
2024-07-02,26003,1,Depot,05:14:36,83.2,92.8,0.05,0.0,5.0,0.0,30.19999999999999
2024-07-02,26003,2,Depot,02:40:49,52.4,92.0,0.0,1.65,3.95,0.0,189.0
2024-07-02,26004,1,Depot,06:42:02,94.0,93.6,0.15,0.0,6.15,0.0,3.0
2024-07-02,26005,1,Depot,05:30:41,73.2,93.6,0.0,0.0,5.600000000000001,0.0,91.3
2024-07-02,26006,1,Depot,06:41:04,92.8,93.6,0.4999999999999999,0.0,9.0,0.0,3.400000000000006
2024-07-02,26006,2,Depot,02:47:52,52.0,92.8,0.2,0.1,4.25,0.0,191.3
2024-07-02,26008,1,Depot,03:41:07,53.2,92.4,0.05,0.9,4.4,0.0,186.7
2024-07-02,26009,1,Depot,07:22:16,93.6,94.0,0.0,0.0,9.650000000000002,0.0,3.800000000000011
2024-07-02,26009,2,Depot,02:06:38,66.8,93.2,0.0,0.45,3.35,0.0,127.4
2024-07-02,26010,1,Depot,02:41:49,36.0,90.0,0.0,1.2,3.75,0.0,248.1
2024-07-02,26011,1,Depot,03:59:12,42.8,90.8,0.0,1.6,5.2,0.0,224.6
2024-07-02,26013,1,Depot,05:45:46,93.6,93.6,0.0,0.0,5.450000000000001,0.0,3.0
2024-07-02,26013,2,Depot,01:44:32,59.6,92.0,0.0,0.7,2.5,0.0,156.0
2024-07-02,26014,1,Depot,07:23:16,93.2,93.2,0.0,0.0,11.2,0.0,0.2000000000000028
2024-07-02,26014,2,Depot,02:40:48,48.0,90.8,0.0,1.25,5.2,0.0,162.8
2024-07-02,26017,1,Depot,06:14:55,93.6,93.6,0.0,0.6,5.8,0.0,1.900000000000006
2024-07-03,26004,1,Depot,04:47:28,46.8,93.6,0.1,0.0,5.1,0.0,203.9
2024-07-03,26004,2,Depot,00:50:15,70.0,90.0,0.05,0.6,1.05,0.0,96.4
