Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2023-06-01,26003,1,Depot,05:43:46,92.0,94.0,0.05,0.0,5.549999999999999,0.0,2.599999999999994
2023-06-01,26003,2,Depot,01:59:37,62.0,91.2,0.0,4.1,3.95,0.0,139.6
2023-06-01,26004,1,Depot,05:43:45,93.6,93.6,0.05,0.0,5.6,0.0,2.0
2023-06-01,26004,2,Depot,00:21:07,82.4,89.6,0.0,0.0,0.4,0.0,36.09999999999999
2023-06-01,26004,3,Depot,00:52:16,65.6,88.0,0.0,0.0,0.9,0.0,108.7
2023-06-02,26003,1,Depot,01:42:32,65.6,92.8,0.0,0.0,2.15,0.0,108.9
2023-06-02,26005,1,Depot,01:27:27,33.2,54.8,0.0,0.0,2.2,0.0,93.6
2023-06-02,26005,2,Depot,02:31:47,36.8,89.6,0.0,0.0,3.35,0.0,239.8
2023-06-02,26007,1,Depot,02:07:39,51.6,90.8,0.0,0.0,3.05,0.0,187.4
2023-06-02,26008,1,Depot,01:43:32,54.8,90.8,0.0,0.0,2.45,0.0,173.4
2023-06-02,26008,2,Depot,00:57:17,83.2,92.0,0.0,0.0,0.9,0.0,43.9
2023-06-02,26009,1,Depot,02:24:45,41.6,89.6,0.0,0.0,3.95,0.0,226.0
2023-06-02,26013,1,Depot,03:38:07,44.4,91.6,0.0,0.0,6.25,2.7,224.1
2023-06-02,26013,2,Depot,01:29:28,67.6,84.0,0.0,0.0,1.55,0.0,79.8
2023-06-02,26013,3,Depot,00:14:05,84.0,88.8,0.0,0.0,0.25,0.0,23.3
2023-06-03,26005,1,Depot,06:59:09,56.0,93.6,0.0,0.0,7.5,0.0,176.7
2023-06-04,26005,1,Depot,10:04:06,93.6,94.0,0.0,0.0,10.05,0.0,2.400000000000006
2023-06-04,26007,1,Depot,06:36:02,60.4,93.6,0.05,0.0,7.05,0.0,159.5
2023-06-04,26013,1,Depot,06:26:59,68.0,93.2,0.1,0.0,6.25,0.0,122.7
2023-06-05,26003,1,Depot,03:32:05,42.8,93.6,0.0,0.0,4.05,0.0,181.9
2023-06-05,26005,1,Depot,04:25:22,74.8,93.6,0.0,0.0,4.4,0.0,86.8
2023-06-05,26007,1,Depot,05:41:45,94.0,93.6,0.09999999999999999,0.0,5.9,0.0,1.799999999999983
2023-06-05,26007,2,Depot,04:36:25,73.2,93.6,0.0,0.0,5.0,0.0,105.5
2023-06-05,26008,1,Depot,04:23:21,74.4,93.6,0.0,0.0,4.3,0.0,87.1
2023-06-05,26009,1,Depot,03:29:04,69.6,93.6,0.0,0.0,5.9,0.0,105.9
2023-06-05,26013,1,Depot,05:43:45,93.2,93.2,0.04999999999999999,0.0,5.55,0.0,0.3999999999999915
2023-06-05,26013,2,Depot,04:46:29,74.0,93.6,0.05,0.0,4.9,0.0,92.5
2023-06-06,26003,1,Depot,05:59:51,93.6,93.6,0.0,0.0,5.950000000000001,0.0,2.800000000000011
2023-06-06,26003,2,Depot,02:22:44,43.2,90.0,0.0,0.0,3.2,0.0,158.4
2023-06-06,26003,3,Depot,00:44:14,86.4,92.0,0.0,0.0,0.7,0.0,28.1
2023-06-06,26004,1,Depot,02:18:43,29.2,85.6,0.05,2.85,5.3,3.95,261.8
2023-06-06,26004,2,Depot,02:56:55,68.0,93.6,0.05,0.0,2.75,0.0,108.7
2023-06-06,26005,1,Depot,00:10:03,76.8,79.6,0.0,0.0,0.2,0.0,15.1
2023-06-06,26005,2,Depot,01:20:25,66.0,90.0,0.0,0.0,1.35,0.0,116.0
2023-06-06,26007,1,Depot,01:13:23,73.6,93.2,0.0,0.0,1.65,0.0,94.89999999999999
2023-06-06,26008,1,Depot,01:20:25,75.6,93.2,0.0,0.0,0.0,0.0,87.0
2023-06-06,26008,2,Depot,00:32:10,82.0,91.6,0.0,0.0,0.55,0.0,47.9
2023-06-06,26009,1,Depot,05:59:52,93.6,93.6,0.0,0.0,9.65,0.0,2.799999999999997
2023-06-06,26009,2,Depot,01:21:25,70.8,90.0,0.0,0.0,2.25,0.0,94.89999999999999
2023-06-06,26013,1,Depot,03:42:08,52.8,93.6,0.05,0.0,4.15,0.45,188.7
2023-06-07,26003,1,Depot,01:03:19,77.6,92.4,0.0,0.0,1.1,0.0,73.4
2023-06-07,26004,1,Depot,06:02:52,93.6,93.6,0.05,0.0,5.649999999999999,0.0,1.299999999999997
2023-06-07,26004,2,Depot,02:58:55,57.2,94.0,0.05,0.0,3.2,0.0,175.3
2023-06-07,26005,1,Depot,03:48:10,58.4,93.6,0.0,0.0,4.75,0.0,168.4
2023-06-07,26007,1,Depot,00:49:15,75.2,90.4,0.0,0.0,1.0,0.0,76.30000000000001
2023-06-07,26008,1,Depot,00:49:15,80.8,91.6,0.0,0.0,0.85,0.0,52.8
2023-06-07,26009,1,Depot,00:50:16,72.4,90.0,0.0,0.0,1.15,0.0,86.0
2023-06-07,26013,1,Depot,06:02:52,93.6,93.6,0.05,0.0,5.749999999999999,0.0,3.599999999999994
2023-06-07,26013,2,Depot,00:48:15,74.4,90.4,0.0,0.0,0.85,0.0,78.80000000000001
2023-06-08,26003,1,Depot,03:43:09,58.4,93.6,0.0,0.0,3.9,0.0,130.3
2023-06-08,26004,1,Depot,05:42:46,93.6,93.6,0.09999999999999999,0.0,5.5,0.0,2.700000000000017
2023-06-08,26004,2,Depot,01:12:22,70.0,89.6,0.0,0.0,1.2,0.0,95.10000000000001
2023-06-08,26005,1,Depot,05:41:45,93.6,94.0,0.0,0.0,6.500000000000001,0.0,3.5
2023-06-08,26005,2,Depot,01:35:29,63.2,91.2,0.0,0.0,1.9,0.0,135.1
2023-06-08,26007,1,Depot,02:12:41,80.0,93.6,0.0,0.0,2.55,0.0,62.2
