Date,Bus,ID,Duration,Start Time,End Time,Air Compressor Energy [kWh],Rear HVAC Energy [kWh],LV Access. Energy [kWh],Electric Heater Energy [kWh],Traction Energy [kWh],Energy Used [kWh],Mileage [miles],Average Speed [mph],SOC Start [%],SOC End [%],Regen Energy [kWh],Net Energy Consumption [kWh/mile],Average Power Consumption [kW],Average Temperature [°F]
2023-06-01,26003,1,00:16:05,06:26 AM,06:42 AM,0.2,0.0,0.5000000000000001,1.649999999999999,3.2,5.4,2.796169499999451,10.4313059067337,92.0,90.4,2.2,1.931213397471456,20.14507772020725,51.85399951934813
2023-06-01,26003,2,04:05:15,06:57 AM,11:02 AM,3.6,2.45,6.65,0.0,52.40000000000001,62.60000000000001,42.17555662500035,10.31817899082577,90.4,74.0,41.5,1.484272052568304,15.31498470948012,66.15187706616489
2023-06-01,26003,3,01:19:24,11:57 AM,01:17 PM,1.15,3.0,2.5,0.0,15.50000000000001,21.59999999999999,13.67016199999944,10.33009722921872,70.4,64.4,12.4,1.580083688840036,16.32241813602015,81.83749957084646
2023-06-01,26004,1,03:19:01,08:10 AM,11:29 AM,2.3,2.3,5.7,3.85,34.1,47.3,29.28210837500046,8.828037027887252,92.8,83.2,29.6,1.615320843508054,14.26011221840717,70.83151735468726
2023-06-01,26004,2,04:23:21,01:43 PM,06:06 PM,4.05,12.0,10.35,0.0,44.8,74.6,35.10746149999977,7.998662198594973,89.6,73.6,45.1,2.124904416686478,16.99639263337763,85.99301994816938
2023-06-01,26004,3,02:36:48,06:25 PM,09:02 PM,2.35,2.850000000000001,4.65,0.0,28.1,37.0,22.99072700000033,8.797472066326659,73.6,65.2,28.49999999999999,1.60934449789254,14.15816326530612,77.17575866067514
2023-06-01,26005,1,04:12:16,06:43 AM,10:55 AM,2.8,0.0,5.15,0.0,34.3,40.6,33.94239087500046,8.072978802193555,92.4,83.6,30.8,1.196144377381001,9.656448202959831,65.13921375955887
2023-06-01,26005,2,02:33:47,11:18 AM,01:52 PM,2.100000000000001,0.0,3.05,0.0,23.1,27.40000000000001,23.53442662499947,9.182175772190103,83.6,78.0,23.8,1.164251861181709,10.69036523246993,81.38253261021234
2023-06-01,26005,3,04:05:16,02:56 PM,07:01 PM,2.6,17.0,10.0,0.0,41.9,74.89999999999999,41.70952837500045,10.20347255708084,76.4,60.0,40.9,1.795752743272279,18.32291383528132,85.33480901134223
2023-06-01,26007,1,02:07:42,08:04 AM,10:11 AM,2.4,0.0,2.85,0.0,25.9,30.0,23.22374112499983,10.91170295614714,90.4,84.0,20.3,1.29178153676996,14.09553641346907,67.5401555955411
2023-06-01,26007,2,02:54:56,10:59 AM,01:54 PM,3.1,7.35,5.850000000000001,0.0,26.80000000000001,42.5,22.83538425000006,7.832258317454289,84.0,75.2,23.1,1.861146698243096,14.57698170731707,81.01142886570561
2023-06-01,26008,1,05:11:36,08:08 AM,01:19 PM,4.100000000000001,0.0,7.65,0.0,41.50000000000001,51.3,40.38911499999995,7.777108151476241,92.8,82.0,48.6,1.270144196029055,9.878048780487804,74.40857855867326
2023-06-01,26008,2,01:30:28,01:48 PM,03:18 PM,1.35,0.0,2.35,0.0,15.0,18.7,13.20413374999953,8.757347365511846,82.0,78.0,17.7,1.416223158145506,12.40235814296242,86.10384743659053
2023-06-01,26009,1,01:47:34,12:47 PM,02:34 PM,0.6,4.800000000000001,4.5,0.0,20.1,29.8,19.10715825000079,10.65785089866794,90.8,84.4,18.6,1.559624911778745,16.62224976758599,84.51316763559987
2023-06-01,26009,2,00:28:09,03:20 PM,03:48 PM,0.25,3.2,1.55,0.0,3.9,9.0,4.660282499999994,9.933106571936044,84.4,82.0,4.1,1.931213397471079,19.18294849023091,86.7920009613037
2023-06-01,26009,3,02:12:40,04:18 PM,06:30 PM,1.65,6.749999999999999,5.950000000000001,0.0,23.09999999999999,39.9,21.8256563749992,9.870899868090088,81.6,72.8,22.7,1.828123714332118,18.04522613065327,85.29285807215177
2023-06-02,26003,1,04:36:27,06:24 AM,11:01 AM,3.7,5.2,7.649999999999999,0.0,51.60000000000001,66.0,44.81638337500044,9.726833071079858,90.8,73.6,41.8,1.472675727707565,14.32447097124254,72.03552174360863
2023-06-02,26003,2,01:15:22,11:55 AM,01:10 PM,1.1,5.0,3.25,2.000000000000001,16.09999999999999,28.2,13.5924906249993,10.82108939628427,72.0,64.4,12.90000000000001,2.074674964140463,22.45024325519682,89.49057906301381
2023-06-02,26004,1,01:00:18,08:22 AM,09:23 AM,0.2,0.0,1.2,0.0,62.2,63.2,48.54460937500062,48.30309390547325,87.6,74.0,6.6,1.301895325015151,62.88557213930348,73.46255768322553
2023-06-02,26005,1,04:10:17,06:47 AM,10:57 AM,3.3,4.25,7.9,2.85,40.49999999999999,57.5,38.36965925000004,9.198293487380978,58.0,44.0,37.6,1.498579896823033,13.78437770526736,73.11005601730356
2023-06-02,26005,2,00:58:19,11:19 AM,12:18 PM,0.8000000000000003,3.65,2.25,0.0,9.600000000000001,16.39999999999999,9.165222249999715,9.429779965704194,43.6,39.2,9.699999999999996,1.789372865453481,16.87339239782794,87.35976316807624
2023-06-02,26005,3,01:39:30,12:21 PM,02:00 PM,1.05,6.7,3.8,0.0,12.9,24.2,14.21386162499948,8.571172839195667,39.2,33.2,14.5,1.702563359519189,14.5929648241206,90.61862048339836
2023-06-02,26005,4,03:07:58,04:02 PM,07:10 PM,2.65,14.5,7.65,0.0,43.8,71.1,34.719104625,11.08253029349175,54.0,36.4,36.6,2.047863871143826,22.69551338889874,88.93993647555075
2023-06-02,26007,1,02:21:47,08:04 AM,10:26 AM,2.25,1.4,3.7,0.0,25.5,31.7,23.22374112499983,9.827843899141813,72.8,66.0,20.9,1.364982490520258,13.41483484189491,75.77016891157122
2023-06-02,26007,2,04:05:21,11:00 AM,03:05 PM,3.3,12.5,9.7,0.0,30.49999999999999,58.90000000000001,26.4859388750001,6.47709937843899,65.2,51.2,27.2,2.223821487996988,14.40391277766456,89.89360629847756
2023-06-02,26008,1,05:17:38,07:34 AM,12:52 PM,4.9,10.85,10.85,0.0,42.0,68.5,38.91335887500009,7.350618740161629,76.0,60.8,46.3,1.760320927834576,12.93944800083954,79.91219571832619
2023-06-02,26008,2,01:22:25,01:47 PM,03:10 PM,1.3,5.9,3.8,0.0,14.1,25.4,12.50509137499921,9.10380767441803,60.8,54.8,15.2,2.031172683054593,18.49140546006067,92.43380479008324
2023-06-02,26008,3,01:15:24,05:18 PM,06:33 PM,0.55,3.8,2.65,0.0,11.2,18.0,9.009879500000352,7.169665384615665,90.8,86.8,9.5,1.997806962901035,14.3236074270557,89.1026319403398
2023-06-02,26008,4,01:15:23,06:51 PM,08:07 PM,1.1,2.05,2.5,0.0,11.5,18.2,11.02933525000026,8.77859980101723,86.8,83.2,14.8,1.650144780937688,14.48596064558921,80.67919975280772
2023-06-02,26009,1,06:19:58,12:45 PM,07:05 PM,4.0,26.4,18.65,0.0,68.5,120.8,68.42848137500005,10.80544490525486,70.4,41.6,68.5,1.765346790877834,19.07535748749891,90.55504462913989
2023-06-02,26013,1,01:02:19,07:13 AM,08:15 AM,0.3,0.0,2.25,3.9,63.9,69.7,48.46693800000003,46.66514490505485,60.8,44.4,8.9,1.43809373721938,67.10885263439422,65.55400047302246
2023-06-02,26013,2,06:31:01,01:38 PM,08:09 PM,5.850000000000001,22.5,19.2,11.7,53.4,115.3,52.81653499999993,8.104493670346521,91.6,67.6,56.9,2.183028477729563,17.69234047994544,88.82193803053616
2023-06-03,26005,1,08:01:28,08:52 AM,04:54 PM,7.75,7.3,14.05,0.0,124.2,151.2,96.00181950000024,11.96367177374691,90.4,56.0,98.6,1.574970149393883,18.84242592079756,68.15131316661872
2023-06-04,26007,1,06:26:06,10:46 AM,05:12 PM,8.15,8.05,13.15,0.0,110.1,137.7,77.82671775000017,12.09428403263406,90.4,60.4,79.6,1.76931526834176,21.3986013986014,68.71200500290145
2023-06-04,26013,1,06:00:52,11:20 AM,05:21 PM,5.4,4.45,11.5,0.0,75.10000000000001,93.4,64.54491262500005,10.73164998383522,88.0,68.0,60.2,1.447054402918559,15.52928135968964,69.1611497688296
2023-06-05,26003,1,00:16:05,06:18 AM,06:34 AM,0.15,0.0,0.75,4.05,3.2,8.399999999999999,2.79616950000036,10.43130590673709,89.2,87.6,2.4,3.004109729399064,31.33678756476683,48.41599979400634
2023-06-05,26003,2,03:50:10,07:00 AM,10:51 AM,3.75,0.0,7.249999999999999,15.9,55.3,79.7,41.08815737500026,10.71088823678501,86.8,65.6,40.8,1.939731667025126,20.7762490948588,61.63206981658944
2023-06-05,26003,3,01:11:22,11:59 AM,01:11 PM,1.0,1.9,2.05,0.0,15.5,19.7,12.97111962500003,10.90519165109764,67.6,63.2,12.1,1.51875863992735,16.56235404016815,72.88399848937995
2023-06-05,26003,4,06:26:58,01:44 PM,08:11 PM,6.5,9.5,12.1,2.85,50.9,81.4,52.42817812500016,8.129099890171442,62.8,43.2,57.4,1.552600203003903,12.62124213971918,74.01186031282295
2023-06-05,26005,1,01:51:34,06:49 AM,08:40 AM,1.5,0.0,2.4,0.0,18.0,20.9,16.31098874999952,8.771968852703658,92.4,87.6,15.0,1.28134476213164,11.23991634299372,56.31751743044163
2023-06-05,26005,2,02:08:40,08:44 AM,10:52 AM,1.75,0.0,2.65,0.0,23.9,27.3,22.36935600000015,10.43130590673582,87.6,81.6,21.5,1.220419577568519,12.73056994818653,65.547256549569
2023-06-05,26005,3,02:31:46,11:19 AM,01:51 PM,1.95,0.0,3.05,0.0,24.4,28.3,23.53442662499947,9.30418799143401,81.6,75.6,24.4,1.202493710636583,11.18822754227982,72.57768287156743
2023-06-05,26007,1,02:22:45,07:53 AM,10:16 AM,2.55,0.0,3.85,0.25,27.5,32.90000000000001,23.61209800000051,9.924524553415276,92.0,84.8,20.3,1.393353525806952,13.82837127845885,63.16353880342081
2023-06-05,26007,2,04:23:24,11:04 AM,03:28 PM,4.0,4.85,7.699999999999999,0.0,42.1,57.10000000000001,36.89390312500018,8.404078160592297,84.8,72.8,35.9,1.547681192920673,13.00683371298406,73.10323863881591
2023-06-05,26008,1,03:17:00,06:56 AM,10:13 AM,2.45,0.0,5.0,0.0,35.40000000000001,42.5,37.67061687499972,11.47328432741108,91.6,82.4,27.7,1.128200266563867,12.94416243654822,60.39166502202219
2023-06-05,26008,2,01:31:29,10:25 AM,11:57 AM,0.7999999999999999,0.0,2.2,0.0,15.4,18.0,18.09743037499993,11.86932944980866,82.4,78.8,12.7,0.9946163420451932,11.80542903989798,69.28602146895031
2023-06-05,26008,3,01:08:21,12:30 PM,01:38 PM,0.85,1.45,2.05,0.0,8.799999999999999,12.8,9.320564999999988,8.181915142648124,78.8,76.0,8.799999999999999,1.373307304868323,11.23628383321141,73.61443327198867
2023-06-05,26009,1,00:11:04,12:34 PM,12:45 PM,0.2,0.65,0.5,0.0,3.100000000000001,4.3,2.252469874999406,12.21218606927389,90.0,88.8,2.4,1.909015542328234,23.31325301204819,72.28399848937988
2023-06-05,26009,2,06:03:01,01:02 PM,07:05 PM,3.65,6.0,12.05,0.0,60.30000000000001,81.4,61.59340037499987,10.18025992149119,88.4,66.8,59.59999999999999,1.321570160186178,13.45392773518204,74.56582316193175
2023-06-05,26013,1,05:43:46,06:44 AM,12:27 PM,4.7,0.0,8.75,2.800000000000001,48.7,61.3,45.98145399999976,8.025464675652048,91.6,78.8,46.7,1.333146185416414,10.69911761853971,63.71914852909737
2023-06-05,26013,2,01:32:28,01:01 PM,02:33 PM,1.2,0.0,2.3,0.0,13.9,16.4,13.20413374999953,8.567931056236175,78.8,75.2,14.0,1.242035283079481,10.64167267483778,74.25316025518613
2023-06-06,26003,1,00:17:06,06:16 AM,06:33 AM,0.2,0.0,0.4999999999999999,3.15,3.4,7.100000000000001,2.796169499999451,9.811121052629652,92.8,90.8,1.9,2.539187985564321,24.91228070175439,53.60000000000002
2023-06-06,26003,2,03:58:13,07:00 AM,10:58 AM,3.5,0.6,6.100000000000001,7.099999999999998,55.70000000000001,70.30000000000001,41.24350012499963,10.38806411879932,89.6,70.8,39.4,1.704511008690746,17.70656964947877,62.96204267229346
2023-06-06,26003,3,01:09:22,11:54 AM,01:04 PM,0.8999999999999999,2.2,2.1,0.0,16.39999999999998,21.2,13.59249062500021,11.75707982940912,67.2,61.2,11.6,1.559684724814712,18.33733781835656,77.46568470001232
2023-06-06,26003,4,00:32:10,04:42 PM,05:14 PM,0.4,1.45,1.1,0.0,4.0,6.899999999999999,2.951512249999723,5.505411450776686,89.2,88.0,2.8,2.337784639044153,12.87046632124352,78.80000062422316
2023-06-06,26003,5,01:14:22,05:19 PM,06:33 PM,1.4,1.85,2.35,0.0,10.7,15.7,10.87399249999999,8.773279471089188,89.2,86.0,12.4,1.443811920966473,12.666965486329,76.60688107299814
2023-06-06,26004,1,01:30:28,09:11 AM,10:42 AM,0.55,0.3,3.3,3.65,60.7,68.3,48.31159525000021,32.04158859616815,45.2,29.2,13.9,1.413739282393075,45.29845246868091,67.05786882756831
2023-06-06,26004,2,04:27:22,01:50 PM,06:18 PM,2.8,4.25,7.4,0.0,41.29999999999999,57.5,37.5929455000005,8.436267535220159,85.6,73.2,40.6,1.529542291385474,12.90362797656153,79.09561778722181
2023-06-06,26004,3,02:19:42,06:36 PM,08:56 PM,1.5,0.0,2.850000000000001,0.0,20.4,23.8,20.73825712500002,8.90691071939872,73.2,68.0,21.9,1.147637424714397,10.2219040801718,70.98144204003476
2023-06-06,26005,1,04:07:16,06:47 AM,10:54 AM,3.0,0.0,5.25,0.0,39.10000000000001,45.59999999999999,38.91335887500009,9.442443512402285,93.2,83.6,36.3,1.171834077507397,11.06497708277163,62.42109378320474
2023-06-06,26005,2,02:36:50,11:17 AM,01:54 PM,2.100000000000001,4.7,4.5,0.0,22.7,33.5,23.68976937499974,9.063036105207127,83.6,76.4,24.1,1.41411254241053,12.81615302869288,77.31872562481334
2023-06-06,26005,3,03:19:02,03:05 PM,06:24 PM,2.9,8.5,7.25,0.0,42.7,63.5,37.5929455000005,11.33265816446171,79.6,66.0,40.7,1.68914670439961,19.14252219058784,78.59883453522505
2023-06-06,26007,1,02:16:45,08:02 AM,10:19 AM,2.4,0.0,3.5,0.0,27.0,31.6,23.30141249999997,10.22365447897622,90.8,84.4,21.2,1.356140963557468,13.86471663619744,63.54059948190293
2023-06-06,26007,2,01:04:21,10:59 AM,12:03 PM,1.1,0.0,1.55,0.0,12.6,14.8,11.02933525000026,10.28376247086271,84.4,81.2,10.2,1.341875975707571,13.7995337995338,74.5722144317627
2023-06-06,26007,3,02:32:50,12:32 PM,03:04 PM,3.25,6.35,5.4,0.0,20.8,35.3,19.18482962500002,7.531667028353334,80.8,73.6,19.9,1.839995490707933,13.85823336968375,79.38929353601813
2023-06-06,26008,1,02:09:40,07:04 AM,09:14 AM,1.75,0.0,4.2,7.45,24.1,37.2,24.31114037500083,11.24937086760964,93.2,85.2,18.8,1.530162691925912,17.2133676092545,59.13610849673928
2023-06-06,26008,2,02:40:49,09:23 AM,12:04 PM,1.8,1.6,4.95,0.0,25.7,33.5,29.67046524999932,11.06992174318557,85.2,78.4,21.8,1.129068914751876,12.49870452896673,71.00767685315621
2023-06-06,26008,3,01:42:31,12:14 PM,01:56 PM,1.15,1.25,2.9,0.0,9.200000000000001,14.1,10.48563562500021,6.136935173142704,78.0,75.2,9.700000000000001,1.34469673601687,8.252316696472118,78.50203868162293
2023-06-06,26008,4,01:29:28,03:21 PM,04:50 PM,1.3,4.7,3.25,0.0,15.1,25.5,13.5924906249993,9.11567925670594,92.8,87.6,13.4,1.876035871829142,17.10134128166915,79.66039978027345
2023-06-06,26008,5,01:39:31,05:40 PM,07:20 PM,1.55,2.5,2.9,0.0,18.9,25.5,16.54400287499993,9.97461235136489,87.6,82.0,16.5,1.54134402615063,15.37430916094457,74.64992045593274
2023-06-06,26009,1,02:16:43,12:43 PM,02:59 PM,1.45,4.850000000000001,5.75,0.0,23.5,35.5,23.30141249999997,10.22614714128976,92.4,84.4,22.9,1.523512791338295,15.57966597586249,79.55455424733422
2023-06-06,26009,2,01:21:26,03:02 PM,04:24 PM,0.85,2.2,3.1,0.0,15.5,21.5,15.30126087499957,11.27395398076104,84.4,79.6,15.7,1.405112962627049,15.84117887842816,79.92565817484044
2023-06-06,26009,3,02:36:49,04:31 PM,07:08 PM,1.6,3.2,5.850000000000001,0.0,28.6,41.3,29.28210837499955,11.20369753958958,79.6,70.8,28.8,1.410417565261833,15.80189180571793,76.6084720198513
2023-06-06,26013,1,05:43:47,06:48 AM,12:32 PM,4.2,2.85,10.55,8.4,48.7,71.6,46.44748224999967,8.106410825616852,91.2,76.4,47.5,1.541525967212152,12.49624278857808,66.06492143914575
2023-06-06,26013,2,06:31:01,01:42 PM,08:13 PM,5.7,9.399999999999999,15.5,11.45,52.2,94.39999999999999,52.81653499999993,8.104493670346521,74.0,52.8,56.2,1.787319065894802,14.48531605643408,77.11810743772043
