Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2023-03-01,26003,1,Depot,01:39:31,35.2,80.0,0.0,0,2.10000000000003,0.0,207.3
2023-03-01,26003,2,Depot,05:06:34,81.2,94.0,0.04999999999999982,0,5.550000000000054,0.0,48.90000000000001
2023-03-01,26003,3,Depot,01:42:31,94.0,93.6,0.0,0,1.749999999999901,0.0,0.6000000000000227
2023-03-01,26005,1,Depot,05:49:47,91.2,93.6,0.0,0,6.65,0.0,6.099999999999994
2023-03-01,26009,1,Depot,05:45:46,93.6,93.6,0.05,0,8.85,0.0,10.30000000000001
2023-03-02,26003,1,Depot,03:19:01,93.6,93.6,0.05,0,3.5,0.0,2.5
2023-03-02,26003,2,Depot,02:19:43,93.6,94.0,0.0,0,2.449999999999999,0.0,0.5999999999999659
2023-03-02,26003,3,Depot,03:50:11,47.2,93.6,0.0,0,4.20000000000006,0.0,213.2
2023-03-02,26005,1,Depot,02:55:54,54.8,92.0,0.0,0,3.25000000000005,0.0,179.9
2023-03-03,26003,1,Depot,00:43:13,43.2,62.4,0.0,0,0.9000000000000199,0.0,88.2
2023-03-03,26003,2,Depot,02:55:54,64.0,93.6,0.04999999999999982,0,3.400000000000048,0.0,134.8
2023-03-03,26005,1,Depot,05:40:45,92.0,93.6,0.05,0,6.2,0.0,2.599999999999994
2023-03-03,26005,2,Depot,02:53:54,54.8,92.8,0.0,0,3.150000000000041,0.0,184.4
2023-03-03,26009,1,Depot,01:10:22,46.4,76.4,0.0,0,2.25,0.0,136.2
2023-03-03,26009,2,Depot,01:49:34,58.4,90.8,0.0,0,2.700000000000029,0.0,151.6
2023-03-03,26009,3,Depot,02:10:40,72.0,94.0,0.0,0,3.100000000000051,0.0,94.0
2023-03-04,26005,1,Depot,07:11:12,92.8,94.0,0.0,0,7.6,0.0,3.299999999999983
2023-03-06,26003,1,Depot,01:57:37,46.0,85.6,0.0,0,2.10000000000003,0.0,186.3
2023-03-06,26003,2,Depot,02:27:45,86.4,93.6,0.0,0,2.55000000000004,0.0,26.29999999999998
2023-03-06,26005,1,Depot,04:14:19,46.0,92.0,0.0,0,7.400000000000112,4.099999999999966,221.3
2023-03-06,26009,1,Depot,05:04:34,61.2,94.0,0.0,0,7.100000000000101,0.0,151.1
