Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2024-11-01,26003,1,Depot,05:07:34,93.2,93.6,0.0,0.0,4.75,0.0,11.10000000000002
2024-11-01,26003,2,Depot,01:57:36,62.8,92.0,0.0,0.15,2.85,0.0,137.9
2024-11-01,26005,1,Depot,05:11:35,69.6,93.6,0.05,0.0,6.200000000000001,0.0,115.2
2024-11-01,26005,2,Depot,01:58:37,68.4,93.2,0.05,0.35,3.0,0.0,120.2
2024-11-01,26006,1,Depot,01:43:32,53.2,91.2,0.1,0.0,2.75,3.65,181.4
2024-11-01,26008,1,Depot,01:46:33,74.4,92.8,0.0,0.05,1.75,0.0,90.2
2024-11-01,26008,2,Depot,01:10:22,62.4,89.6,0.0,0.0,1.3,0.0,130.7
2024-11-01,26009,1,Depot,02:02:39,79.2,93.6,0.05,0.0,3.3,0.0,69.5
2024-11-01,26009,2,Depot,01:54:36,58.8,94.0,0.1,0.05,2.95,0.0,168.2
2024-11-01,26010,1,Depot,02:21:46,56.4,92.0,0.05,0.0,3.1,0.0,138.1
2024-11-01,26012,1,Depot,01:47:33,66.0,91.6,0.0,0.05,2.25,0.0,122.4
2024-11-01,26013,1,Depot,01:42:31,70.8,92.0,0.0,0.0,1.65,0.0,102.2
2024-11-01,26014,1,Depot,05:09:35,93.6,93.6,0.0,0.0,7.850000000000001,0.0,2.0
2024-11-01,26014,2,Depot,03:33:05,46.0,93.6,0.0,0.05,6.65,0.0,177.7
2024-11-02,26003,1,Depot,08:37:57,68.8,91.6,0.05,0.0,9.45,0.0,111.9
2024-11-02,26005,1,Depot,08:36:56,75.6,93.6,0.15,0.0,9.55,0.0,88.0
2024-11-02,26006,1,Depot,08:28:36,91.6,93.6,0.4500000000000001,0.0,10.65,0.0,10.90000000000001
2024-11-02,26008,1,Depot,04:08:16,90.0,93.6,0.0,0.0,4.95,0.0,102.3
2024-11-02,26009,1,Depot,00:06:02,93.6,93.6,0.0,0.0,0.1000000000000001,0.0,0.09999999999999432
2024-11-02,26009,2,Depot,08:20:34,93.6,93.6,0.65,0.0,11.15,0.0,7.199999999999989
2024-11-02,26009,3,Depot,04:32:24,79.2,93.6,0.4,0.0,6.95,0.0,68.2
2024-11-02,26010,1,Depot,04:26:22,55.2,94.0,0.2,0.0,4.350000000000001,0.0,157.3
2024-11-02,26012,1,Depot,04:58:07,83.6,94.0,0.5999999999999996,0.0,0.75,0.0,53.5
2024-11-02,26013,1,Depot,07:29:18,92.0,93.6,0.1,0.0,6.8,0.0,5.100000000000009
2024-11-02,26013,2,Depot,02:21:44,94.0,93.6,0.05,0.0,2.25,0.0,2.0
2024-11-02,26014,1,Depot,05:36:02,48.0,93.6,0.0,0.0,10.45,0.0,174.0
2024-11-03,26003,1,Depot,08:42:40,91.6,91.6,0.0,0.0,8.75,0.0,1.099999999999994
2024-11-03,26003,2,Depot,06:12:54,91.6,93.6,0.05,0.0,6.55,0.0,10.6
2024-11-03,26005,1,Depot,08:48:41,93.6,93.6,0.1,0.0,9.000000000000002,0.0,1.5
2024-11-03,26005,2,Depot,00:09:03,93.6,94.0,0.05,0.0,0.25,0.0,0.2
2024-11-03,26006,1,Depot,06:12:54,67.2,93.6,0.45,0.0,6.25,0.0,127.2
2024-11-03,26006,2,Depot,01:41:32,52.8,89.2,0.15,0.0,2.7,3.05,174.2
2024-11-03,26008,1,Depot,08:53:43,93.6,93.6,0.1,0.0,8.8,0.0,4.399999999999991
2024-11-03,26008,2,Depot,00:07:02,94.0,94.0,0.0,0.0,0.2,0.0,0.1
2024-11-03,26009,1,Depot,08:14:30,93.6,93.6,0.7999999999999999,0.0,11.5,0.0,3.799999999999997
2024-11-03,26009,2,Depot,00:28:09,93.6,93.6,0.0,0.0,0.6999999999999993,0.0,1.5
2024-11-03,26009,3,Depot,04:36:25,93.6,93.6,0.4,0.0,6.8,0.0,3.4
2024-11-03,26010,1,Depot,08:44:40,94.0,93.6,0.45,0.0,8.45,0.0,3.0
2024-11-03,26010,2,Depot,01:41:32,60.4,91.6,0.15,0.0,1.7,0.0,119.4
2024-11-03,26012,1,Depot,08:51:49,93.6,93.6,0.05,0.0,8.55,0.0,2.199999999999996
2024-11-03,26013,1,Depot,06:52:06,49.6,93.6,0.05,0.0,8.55,0.0,215.2
2024-11-03,26014,1,Depot,08:56:45,93.6,93.6,0.05,0.0,14.1,0.0,2.900000000000006
2024-11-03,26014,2,Depot,00:36:11,61.6,71.2,0.0,0.0,1.25,0.0,8.6
2024-11-03,26014,3,Depot,01:23:26,73.2,92.4,0.05,0.0,2.45,0.0,24.5
2024-11-03,26016,1,Depot,06:13:55,49.2,93.6,0.05,0.0,7.4,0.0,169.1
2024-11-03,26016,2,Depot,01:24:26,65.6,93.2,0.0,0.0,1.4,0.0,105.1
2024-11-04,26003,1,Depot,04:56:31,93.6,93.6,0.05,0.0,5.15,0.0,2.4
2024-11-04,26003,2,Depot,02:04:38,35.6,79.6,0.0,0.0,2.35,0.0,197.6
2024-11-04,26005,1,Depot,02:21:43,66.0,92.4,0.0,0.0,2.35,0.0,116.6
2024-11-04,26006,1,Depot,04:55:31,89.6,93.6,0.45,0.0,7.8,3.95,21.0
2024-11-04,26006,2,Depot,02:39:49,61.6,93.6,0.15,0.0,3.9,0.0,139.0
2024-11-04,26008,1,Depot,01:41:31,38.0,61.6,0.0,0.0,2.05,0.0,101.9
2024-11-04,26009,1,Depot,00:24:08,57.2,67.6,0.2,0.0,0.75,0.45,38.3
2024-11-04,26009,2,Depot,00:35:11,64.0,79.2,0.05,0.0,1.0,0.0,57.6
2024-11-04,26009,3,Depot,03:38:06,78.8,93.6,0.3,0.0,5.2,0.0,63.4
2024-11-04,26010,1,Depot,03:44:09,92.0,93.6,0.2,0.0,3.65,0.0,4.299999999999997
2024-11-04,26010,2,Depot,01:09:21,93.6,93.6,0.1,0.0,1.149999999999999,0.0,1.5
2024-11-04,26010,3,Depot,03:40:08,39.6,93.6,0.2,0.0,3.85,0.0,166.2
2024-11-04,26012,1,Depot,03:27:03,39.2,93.6,0.05,0.0,3.7,0.0,250.6
2024-11-04,26013,1,Depot,04:56:31,93.6,94.0,0.09999999999999999,0.0,6.0,0.0,3.099999999999994
2024-11-04,26013,2,Depot,01:49:34,57.6,93.6,0.0,0.0,2.45,0.0,173.6
2024-11-04,26013,3,Depot,00:55:18,86.8,93.6,0.0,0.0,1.05,0.0,34.5
2024-11-04,26013,4,Depot,01:08:21,93.6,93.6,0.0,0.0,1.35,0.0,3.0
2024-11-04,26014,1,Depot,05:02:32,92.4,93.6,0.0,0.0,8.05,0.0,2.400000000000002
2024-11-04,26014,2,Depot,04:42:27,44.4,93.6,0.0,0.0,7.55,0.0,175.5
2024-11-04,26016,1,Depot,01:29:27,42.4,83.2,0.0,0.0,1.55,0.0,149.5
2024-11-04,26016,2,Depot,01:02:19,80.0,92.0,0.0,0.0,2.0,9.899999999999999,48.6
2024-11-04,26016,3,Depot,00:19:06,33.6,44.4,0.0,0.0,0.35,0.0,37.8
2024-11-04,26016,4,Depot,00:05:01,45.6,48.8,0.0,0.0,0.09999999999999998,0.0,10.0
2024-11-04,26016,5,Depot,00:07:02,93.2,93.6,0.0,0.0,0.1499999999999999,0.0,1.099999999999994
2024-11-05,26003,1,Depot,04:47:27,80.8,93.6,0.05,0.0,4.8,0.0,69.90000000000003
2024-11-05,26003,2,Depot,02:01:37,48.0,93.6,0.0,0.0,2.9,0.0,208.1
2024-11-05,26005,1,Depot,01:34:29,64.8,90.8,0.0,0.0,1.6,0.0,124.8
2024-11-05,26005,2,Depot,01:18:24,68.0,90.4,0.0,0.0,1.65,0.0,108.0
