Date,Bus,ID,Duration,Start Time,End Time,Air Compressor Energy [kWh],Rear HVAC Energy [kWh],LV Access. Energy [kWh],Electric Heater Energy [kWh],Traction Energy [kWh],Energy Used [kWh],Mileage [miles],Average Speed [mph],SOC Start [%],SOC End [%],Regen Energy [kWh],Net Energy Consumption [kWh/mile],Average Power Consumption [kW],Average Temperature [°F]
2023-10-01,26009,1,07:54:31,09:04 AM,04:59 PM,6.05,14.75,16.3,0.0,95.40000000000002,130.3,90.17584500399971,11.40223532768076,53.6,22.4,67.7,1.44495457729529,16.47571212813038,73.13079918423881
2023-10-01,26010,1,07:04:11,04:54 PM,11:58 PM,5.15,3.25,14.05,13.3,46.0,83.80000000000001,53.82626287499988,7.613631933912207,84.8,67.2,45.2,1.556860824512521,11.85336529016542,66.9427656538938
2023-10-01,26014,1,06:36:02,08:11 AM,02:47 PM,6.45,4.7,12.15,0.0,38.59999999999999,62.2,38.36965925000004,5.813095417052443,71.2,32.4,33.2,1.621072514476394,9.423449204612407,69.56198999718771
2023-10-02,26003,1,01:02:19,06:23 AM,07:25 AM,0.5,0.0,2.0,2.15,5.299999999999999,9.6,5.515288996000891,5.310254181760686,74.8,72.8,4.4,1.740615950852424,9.243113131853436,58.17457155500136
2023-10-02,26003,2,00:50:15,08:25 AM,09:15 AM,0.35,0.3,1.7,1.7,4.0,7.800000000000001,3.649933253998825,4.358129258506059,72.0,70.4,3.5,2.137025380246176,9.313432835820896,63.29352933098284
2023-10-02,26003,3,01:57:36,10:41 AM,12:39 PM,1.3,3.65,4.799999999999999,3.4,11.6,24.2,11.02809250800055,5.626577810204365,68.8,63.2,12.0,2.19439581073913,12.34693877551021,73.67777999619287
2023-10-02,26004,1,02:43:50,07:59 AM,10:42 AM,2.25,0.2,4.4,0.0,37.3,43.2,28.11703775000024,10.29718574771118,88.0,78.4,31.6,1.536434968153771,15.82095625635809,65.6916102618707
2023-10-02,26004,2,00:56:18,10:59 AM,11:56 AM,0.9000000000000004,0.7,1.649999999999999,0.0,14.3,17.0,13.90317612500075,14.81688396980542,78.4,74.4,13.7,1.222742188342887,18.11722912966252,73.19821006373347
2023-10-02,26004,3,00:16:05,02:37 PM,02:53 PM,0.15,1.65,0.7000000000000002,0.0,3.8,6.199999999999999,2.718498124999314,10.14154740932387,72.8,71.2,2.7,2.280671059871179,23.12953367875647,78.71000137329102
2023-10-02,26004,4,03:32:05,03:15 PM,06:47 PM,3.05,9.85,7.950000000000001,0.0,44.99999999999999,67.4,36.58321762500054,10.34967256974475,70.8,55.6,43.4,1.84237484769354,19.06797642436149,76.67396291516884
2023-10-02,26005,1,05:10:35,06:44 AM,11:55 AM,3.65,1.0,7.25,0.0,47.7,57.3,48.70057349600029,9.408213822677812,93.2,79.6,44.9,1.176577520277168,11.06949288972364,65.57284538146021
2023-10-02,26005,2,01:50:34,12:19 PM,02:10 PM,1.45,2.4,3.299999999999999,0.0,15.2,23.3,17.1647525039989,9.31460793102141,79.2,74.0,17.1,1.35743291344118,12.64395538136871,77.05448770265329
2023-10-02,26005,3,04:45:28,02:46 PM,07:31 PM,3.45,0.0,7.149999999999999,0.0,41.2,49.9,47.06885325000076,9.893033144558776,73.6,61.6,46.2,1.060149048776734,10.48808967772069,75.86410603171883
2023-10-02,26006,1,05:17:38,06:51 AM,12:09 PM,4.800000000000001,2.25,10.7,0.0,42.9,60.5,40.15610087499999,7.585369039248609,93.2,80.8,39.6,1.506620381005804,11.42827159198237,66.16820215050768
2023-10-02,26006,2,00:42:13,12:55 PM,01:37 PM,0.75,1.6,2.049999999999999,0.0,5.999999999999993,10.40000000000001,5.903024500000356,8.389612396368449,80.0,78.0,6.100000000000001,1.76180871348228,14.78089222266088,77.50400123596185
2023-10-02,26007,1,00:20:07,08:27 AM,08:48 AM,0.2,0.0,0.65,0.0,10.8,11.6,9.477150492000874,28.2665631907234,92.8,90.4,4.100000000000001,1.223996602121165,34.59817729908865,60.6199993133545
2023-10-02,26008,1,06:51:08,12:32 PM,07:24 PM,4.600000000000001,15.05,15.55,0.0,86.29999999999998,124.4,75.10759825400055,10.96105698534141,87.2,50.4,74.9,1.656290480482431,18.15469434084644,76.55245946372371
2023-10-02,26009,1,04:04:18,06:54 AM,10:58 AM,3.0,1.45,7.500000000000001,5.0,52.40000000000001,68.2,52.27221400400049,12.83803864199766,93.2,78.8,49.5,1.304708463176642,16.74989766680311,64.11532005091206
2023-10-02,26009,2,01:21:25,11:53 AM,01:15 PM,0.8500000000000001,3.35,3.1,0.0,13.00000000000001,20.3,15.45722499600015,11.39119958763573,76.0,71.6,13.4,1.313301708764219,14.96008188331627,75.96039136095757
2023-10-02,26009,3,00:43:14,02:37 PM,03:20 PM,0.5,3.05,1.95,0.0,8.6,14.0,6.913373745999706,9.594504813260965,70.0,67.2,6.800000000000001,2.025060486293083,19.42945258288358,78.57091040177781
2023-10-02,26009,4,00:29:09,04:21 PM,04:50 PM,0.2,0.8499999999999996,1.149999999999999,0.0,5.100000000000001,7.600000000000001,6.369052750000264,13.10954253859403,65.6,64.0,5.4,1.193270066730046,15.64322469982848,77.7379997253418
2023-10-02,26010,1,04:25:22,07:48 AM,12:14 PM,3.35,0.0,7.5,4.9,36.4,52.8,34.33074775000023,7.762259257631002,64.8,52.8,38.1,1.537979900248448,11.93819871875392,68.05237012899187
2023-10-02,26010,2,04:52:30,02:27 PM,07:19 PM,4.100000000000001,6.649999999999999,9.1,0.0,43.89999999999999,66.5,38.75801612499981,7.950362282051244,50.0,33.6,48.2,1.715774093945587,13.64102564102564,76.28443915615314
2023-10-02,26011,1,04:08:16,06:51 AM,11:00 AM,3.75,0.9,7.15,0.0,41.5,52.8,42.17555662499944,10.19280369562285,84.4,72.8,38.8,1.251909974051248,12.76047261009667,64.0964681179295
2023-10-02,26011,2,03:36:06,11:48 AM,03:24 PM,3.25,5.95,7.3,0.0,21.7,38.5,23.14606975000061,6.426488593244037,72.8,64.4,24.0,1.663349346815089,10.68949560388709,77.30025119781489
2023-10-02,26013,1,04:08:17,06:42 AM,10:51 AM,2.7,0.0,6.75,4.6,39.59999999999999,51.0,42.02021387499917,10.15457944216936,91.6,80.8,31.5,1.213701580665765,12.32462911995704,63.59217779867132
2023-10-02,26013,2,03:02:56,12:00 PM,03:03 PM,2.15,4.2,5.75,0.0,29.0,39.4,31.92293512499964,10.47035044187306,79.6,71.2,25.4,1.234222349721999,12.92274052478134,77.36196846258444
2023-10-02,26014,1,04:49:30,01:51 PM,06:41 PM,4.899999999999999,7.199999999999999,9.5,0.0,51.99999999999999,75.39999999999999,39.8454153749999,8.258117176165783,90.0,73.2,50.1,1.892313062629233,15.62694300518134,77.30014616362318
2023-10-02,26014,2,02:04:38,06:58 PM,09:02 PM,2.0,0.4500000000000011,3.25,0.0,24.2,29.19999999999999,19.88387200000034,9.572337416421666,73.2,66.4,23.6,1.468526854326939,14.05723455469376,68.17222516784682
2023-10-02,26016,1,05:24:39,07:04 AM,12:29 PM,3.6,0.0,9.100000000000001,12.4,66.80000000000001,86.4,61.98175724999965,11.4551222393346,91.6,73.6,51.6,1.393958542535522,15.9679655013091,67.06116698583011
2023-10-02,26016,2,01:21:25,01:46 PM,03:08 PM,0.95,0.0,1.85,0.0,12.5,14.1,13.43714787499994,9.902504063459522,72.0,68.8,10.0,1.049329822903364,10.39099283520983,78.62175746080344
2023-10-02,26016,3,05:02:32,06:55 PM,11:58 PM,4.0,0.85,7.750000000000001,0.0,37.90000000000001,44.9,38.13664512500009,7.563459808836509,92.8,83.6,32.5,1.177345302735249,8.90480387836051,64.77055035142695
2023-10-03,26003,1,00:53:17,06:39 AM,07:32 AM,0.4,0.0,1.4,4.45,3.9,10.0,4.349597000000358,4.897888395371063,91.6,88.8,3.7,2.299063568417758,11.26055677197373,55.1503332455953
2023-10-03,26003,2,00:39:12,08:23 AM,09:03 AM,0.45,0.05,1.25,1.25,3.999999999999999,6.699999999999999,3.651175996001257,5.588534687757026,88.4,86.4,3.3,1.835025210326151,10.25510204081633,58.98290055274962
2023-10-03,26003,3,01:40:31,10:42 AM,12:23 PM,1.35,2.8,3.199999999999999,0.0,11.6,18.5,10.79694249599925,6.444867018006514,84.4,79.6,11.1,1.713448043911976,11.04294478527607,73.20894955550078
2023-10-03,26003,4,00:32:10,06:41 PM,07:13 PM,0.5,0.4499999999999997,0.9000000000000001,0.0,3.4,5.799999999999999,3.805276003999097,7.097924152537177,78.0,76.8,3.0,1.524199557116114,10.81865284974093,71.04909130443227
2023-10-03,26004,1,04:23:21,07:51 AM,12:14 PM,3.3,1.65,7.699999999999999,5.7,39.39999999999999,55.9,35.10746149999977,7.998662198594973,90.8,79.2,39.7,1.592254113844157,12.7359027909626,65.99508714857217
2023-10-03,26004,2,05:50:48,01:30 PM,07:20 PM,4.2,10.6,11.5,0.0,49.7,76.6,50.40872237499934,8.62178831955519,77.6,60.4,54.2,1.519578287070224,13.10148232611174,78.56296587044848
2023-10-03,26005,1,05:15:37,06:37 AM,11:53 AM,3.6,0.0,6.65,0.0,47.9,55.6,48.85591624600056,9.287706526144692,78.4,65.2,46.1,1.138040267631897,10.56978402070022,62.74114259447411
2023-10-03,26005,2,01:51:34,12:20 PM,02:11 PM,1.35,4.7,3.25,0.0,14.49999999999999,23.4,17.24180250799873,9.272555875230866,64.8,59.2,16.2,1.357166687714025,12.5844039438303,78.33392936842797
2023-10-03,26005,3,04:39:26,02:33 PM,07:13 PM,3.4,0.0,7.25,0.0,43.3,54.6,46.91351050000048,10.07328151019932,59.2,45.2,46.7,1.163843835562027,11.72372658952642,78.45729035408266
2023-10-03,26006,1,05:19:39,06:44 AM,12:04 PM,5.1,1.5,10.85,0.0,42.7,59.9,40.07842949999986,7.52293374002813,92.8,80.4,37.7,1.494569541453719,11.24354763022055,63.3579746521383
2023-10-03,26006,2,03:24:04,12:31 PM,03:55 PM,3.250000000000001,5.600000000000001,6.550000000000001,0.0,26.79999999999998,42.0,25.16552550000006,7.399207105521088,80.0,71.2,25.0,1.668949849666358,12.34890558640967,79.78691254223114
2023-10-03,26008,1,00:36:11,09:51 AM,10:27 AM,0.35,0.0,0.8500000000000001,0.0,18.5,19.4,14.67926850399999,24.34148623417779,85.2,80.4,6.600000000000001,1.32159173971875,32.16950713956702,67.51399917602538
2023-10-03,26008,2,08:03:22,11:35 AM,07:38 PM,6.0,13.35,14.8,0.5499999999999998,84.19999999999999,116.0,87.92399650000152,10.91395032756381,79.2,45.6,77.9,1.319321284491407,14.39900696503689,77.74722519397746
2023-10-03,26009,1,04:12:20,06:48 AM,11:00 AM,2.75,1.0,8.1,9.6,45.2,65.7,49.78797274600038,11.838619675403,92.4,78.4,41.8,1.319595805500594,15.6221928665786,61.00342851366339
2023-10-03,26009,2,01:05:20,11:55 AM,01:00 PM,0.6499999999999999,3.2,2.699999999999999,0.0,10.70000000000001,17.5,12.50571274600043,11.48483823612284,76.0,72.4,10.6,1.399360464728157,16.07142857142857,76.56063645102769
2023-10-03,26009,3,01:15:23,01:45 PM,03:01 PM,0.8999999999999999,4.1,3.15,0.0,6.899999999999999,14.90000000000001,8.853294008000375,7.046619152951879,72.0,69.2,8.600000000000001,1.682989403326655,11.85938536369667,80.61752667176086
2023-10-03,26009,4,02:51:53,04:43 PM,07:35 PM,2.4,6.6,6.8,0.0,27.2,45.2,23.84573349600032,8.323925199806181,67.2,57.2,31.3,1.89551728436374,15.77814408998352,75.4705231799637
