Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2025-10-01,26003,1,Depot,02:09:40,14.8,83.6,0.0,0.0,4.05,3.5,239.3
2025-10-01,26003,2,Depot,00:18:06,89.2,92.8,0.0,0.0,0.85,0.0,13.2
2025-10-01,26005,1,Depot,00:24:08,54.0,65.2,0.0,0.0,0.4,0.0,50.1
2025-10-01,26005,2,Depot,01:50:35,50.0,75.2,0.0,0.0,2.2,0.0,115.2
2025-10-01,26006,1,Depot,01:13:22,49.2,80.8,0.05,0.0,2.1,6.3,148.2
2025-10-01,26008,1,Depot,00:27:08,64.0,76.0,0.0,0.0,0.55,0.0,57.8
2025-10-01,26008,2,Depot,01:06:21,54.0,83.2,0.0,0.0,1.55,0.0,139.5
2025-10-01,26010,1,Depot,00:41:13,57.6,76.8,0.0,0.0,0.9,0.0,75.10000000000001
2025-10-01,26010,2,Depot,01:49:34,34.0,84.0,0.0,0.0,2.3,0.0,181.8
2025-10-01,26012,1,Depot,00:40:08,54.4,72.4,0.0,0.0,1.15,1.65,82.6
2025-10-01,26012,2,Depot,00:48:16,62.4,77.6,0.0,0.0,0.8,0.0,71.5
2025-10-01,26013,1,Depot,01:16:24,50.4,82.8,0.0,0.0,1.9,0.0,153.6
2025-10-01,26014,1,Depot,01:12:22,41.6,78.8,0.0,0.0,2.05,0.0,139.5
2025-10-02,26002,1,Depot,01:32:32,34.4,76.0,0.0,0.0,2.05,0.0,192.7
2025-10-02,26005,1,Depot,00:26:10,67.2,78.0,0.0,0.0,0.5499999999999999,0.0,52.5
2025-10-02,26005,2,Depot,03:06:58,43.6,86.8,0.05,0.0,3.4,0.0,202.7
2025-10-02,26006,1,Depot,00:52:16,61.2,84.4,0.0,0.0,1.35,0.0,109.7
2025-10-02,26008,1,Depot,00:18:06,59.6,67.6,0.0,0.0,0.35,0.0,38.0
2025-10-02,26008,2,Depot,00:44:13,59.2,79.2,0.0,0.0,0.8,0.0,94.8
2025-10-02,26009,1,Depot,00:08:00,62.8,64.4,0.0,0.0,0.35,0.0,5.899999999999999
2025-10-02,26010,1,Depot,00:48:15,60.0,82.8,0.0,0.0,0.95,0.0,86.1
2025-10-02,26010,2,Depot,01:25:26,45.2,86.8,0.0,0.0,1.4,0.0,121.3
