Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2025-09-02,26003,1,Depot,04:15:19,48.0,93.6,0.0,0.0,4.95,0.0,186.3
2025-09-02,26005,1,Depot,03:11:00,53.2,87.2,0.1,0.0,3.45,0.0,162.0
2025-09-02,26006,1,Depot,01:08:22,64.0,89.2,0.0,1.85,2.45,0.0,121.2
2025-09-02,26010,1,Depot,03:43:09,24.4,93.6,0.05,0.0,4.55,0.0,226.7
2025-09-02,26011,1,Depot,00:20:07,74.4,82.4,0.0,0.0,0.35,0.0,38.7
2025-09-02,26012,1,Depot,03:30:09,71.2,93.2,0.0,0.0,3.45,0.0,103.8
2025-09-02,26013,1,Depot,00:14:04,50.0,56.4,0.0,0.0,0.2,0.0,28.5
2025-09-02,26014,1,Depot,02:24:45,51.2,90.4,0.0,0.0,3.85,0.0,151.1
2025-09-03,26003,1,Depot,01:37:31,57.6,92.0,0.0,0.0,1.95,0.0,132.3
2025-09-03,26005,1,Depot,00:28:08,43.2,56.0,0.05,0.0,0.5,0.0,57.3
2025-09-03,26006,1,Depot,05:06:37,66.8,93.6,0.3,0.0,7.15,0.0,115.6
2025-09-03,26006,2,Depot,03:08:59,54.8,93.6,0.1,0.0,4.55,0.0,166.0
2025-09-03,26008,1,Depot,00:07:02,66.4,69.2,0.0,0.0,0.3,0.0,14.8
2025-09-03,26010,1,Depot,01:58:37,53.6,92.0,0.0,0.0,2.2,0.0,158.7
2025-09-03,26011,1,Depot,05:09:34,64.0,92.4,0.0,0.0,4.9,0.0,130.1
2025-09-03,26012,1,Depot,01:35:04,60.8,88.8,0.0,0.0,2.15,0.0,135.8
2025-09-03,26013,1,Depot,05:10:34,57.6,93.6,0.0,0.0,4.7,0.0,159.2
2025-09-03,26014,1,Depot,02:24:45,48.0,90.4,0.0,0.0,3.8,0.0,160.7
2025-09-04,26003,1,Depot,01:57:36,37.6,87.2,0.0,0.0,2.95,0.0,199.3
2025-09-04,26005,1,Depot,05:16:39,57.2,91.6,0.05,0.0,5.600000000000001,0.0,144.9
2025-09-04,26006,1,Depot,01:41:31,50.0,87.2,0.05,0.0,2.65,0.0,176.3
2025-09-04,26010,1,Depot,01:39:31,62.4,92.0,0.0,0.0,2.8,1.45,113.5
2025-09-04,26011,1,Depot,05:02:32,46.8,93.6,0.05,0.0,5.3,0.0,217.2
2025-09-04,26013,1,Depot,03:35:04,41.6,93.6,0.0,0.0,4.2,0.0,227.9
2025-09-04,26014,1,Depot,03:45:09,38.8,93.6,0.0,0.0,6.0,0.0,201.0
2025-09-05,26003,1,Depot,01:10:22,34.8,72.0,0.0,3.0,2.5,0.0,135.4
2025-09-05,26005,1,Depot,05:23:40,56.4,93.6,0.09999999999999999,0.0,6.05,0.0,160.6
2025-09-05,26006,1,Depot,06:53:08,62.8,93.6,0.1,0.0,9.45,0.0,132.5
2025-09-05,26010,1,Depot,02:08:40,32.4,86.8,0.0,0.0,2.6,0.0,201.7
2025-09-05,26011,1,Depot,05:15:37,50.4,93.6,0.05,0.0,5.6,0.0,199.9
2025-09-05,26011,2,Depot,06:50:06,68.8,93.6,0.0,0.0,7.25,0.0,110.5
2025-09-05,26012,1,Depot,05:15:13,38.8,93.6,0.0,0.0,5.45,0.0,245.9
2025-09-05,26014,1,Depot,04:44:27,42.8,94.0,0.0,0.0,7.15,0.0,177.0
2025-09-06,26003,1,Depot,07:51:26,31.6,93.6,0.0,0.0,8.1,0.0,159.6
2025-09-06,26005,1,Depot,07:57:27,66.4,93.6,0.15,0.0,7.95,0.0,119.0
2025-09-06,26006,1,Depot,07:17:15,93.6,93.6,0.15,0.0,9.7,0.0,1.5
2025-09-06,26010,1,Depot,07:15:14,86.8,93.6,0.05,0.0,6.549999999999999,0.0,7.0
2025-09-06,26010,2,Depot,08:00:29,72.4,93.6,0.05,0.0,7.35,0.0,77.3
2025-09-06,26011,1,Depot,07:46:23,93.6,93.6,0.05,0.0,7.5,0.0,1.099999999999994
2025-09-06,26012,1,Depot,06:55:16,50.4,93.6,0.0,0.0,8.4,0.0,201.2
2025-09-06,26013,1,Depot,08:08:30,53.6,93.6,0.1,0.0,7.15,0.0,179.7
2025-09-06,26014,1,Depot,07:16:14,94.0,93.6,0.0,0.0,10.3,0.0,2.399999999999977
2025-09-06,26014,2,Depot,06:16:57,22.4,93.6,0.05,0.0,9.75,0.0,257.3
2025-09-07,26003,1,Depot,06:17:57,31.6,93.6,0.0,0.0,6.45,0.0,51.7
2025-09-07,26010,1,Depot,06:36:02,69.2,93.6,0.05,0.0,7.65,0.0,84.69999999999999
2025-09-07,26013,1,Depot,06:34:01,58.0,93.6,0.0,0.0,5.15,0.0,170.8
2025-09-08,26003,1,Depot,04:44:29,93.6,93.6,0.0,0.0,4.500000000000001,0.0,1.399999999999999
2025-09-08,26003,2,Depot,00:40:13,47.6,66.0,0.0,0.0,0.9,0.0,81.39999999999999
2025-09-08,26005,1,Depot,02:07:41,67.6,90.4,0.05,0.0,2.6,0.0,111.3
2025-09-08,26010,1,Depot,05:15:36,93.6,93.6,0.0,0.0,5.899999999999999,0.0,1.099999999999994
2025-09-08,26010,2,Depot,08:06:31,69.6,93.6,0.05,0.0,9.299999999999999,0.0,89.7
2025-09-08,26011,1,Depot,00:20:06,53.2,62.4,0.0,0.0,0.4,0.0,41.5
2025-09-08,26011,2,Depot,01:30:30,44.0,84.4,0.0,0.0,2.3,2.7,183.9
2025-09-08,26012,1,Depot,00:54:06,58.0,78.4,0.0,0.15,2.2,9.9,97.10000000000001
2025-09-08,26012,2,Depot,00:47:16,53.6,74.8,0.0,0.0,1.25,0.0,98.6
2025-09-08,26012,3,Depot,03:44:09,62.8,93.6,0.0,0.0,4.95,0.0,132.0
2025-09-08,26013,1,Depot,02:34:48,52.0,90.8,0.0,0.0,2.55,0.0,186.4
2025-09-08,26014,1,Depot,05:14:37,49.2,93.6,0.0,0.0,7.75,0.0,157.4
2025-09-09,26003,1,Depot,00:58:18,62.0,75.6,0.0,0.0,2.5,6.55,12.9
2025-09-09,26005,1,Depot,00:34:11,47.6,63.2,0.0,0.0,0.65,0.0,70.2
2025-09-09,26005,2,Depot,07:34:21,48.0,93.6,0.05,0.0,8.9,0.0,199.3
2025-09-09,26006,1,Depot,02:05:39,28.4,81.2,0.15,0.0,3.5,0.0,244.3
2025-09-09,26006,2,Depot,02:16:43,40.4,82.8,0.1,0.0,3.5,0.0,199.7
2025-09-09,26009,1,Depot,04:49:29,84.4,86.8,0.0,0.0,7.15,0.0,0.3
2025-09-09,26010,1,Depot,05:19:38,93.6,93.6,0.0,0.0,6.049999999999999,0.0,1.599999999999994
2025-09-09,26010,2,Depot,04:05:15,68.8,93.6,0.05,0.0,5.45,0.0,88.8
2025-09-09,26011,1,Depot,05:20:38,85.2,91.6,0.05,0.0,10.4,0.8999999999999999,31.0
2025-09-09,26011,2,Depot,00:41:15,80.4,90.0,0.0,0.0,0.6499999999999999,0.0,46.4
2025-09-09,26012,1,Depot,05:19:11,93.6,93.6,0.05,0.0,7.1,0.0,1.800000000000011
2025-09-09,26012,2,Depot,01:11:47,60.8,88.4,0.0,0.0,1.9,0.0,132.6
2025-09-09,26013,1,Depot,05:16:37,90.8,94.0,0.0,0.0,4.199999999999999,0.0,4.199999999999989
2025-09-09,26013,2,Depot,05:15:37,64.8,94.0,0.05,0.0,5.4,0.0,145.3
2025-09-09,26014,1,Depot,05:16:37,93.6,93.6,0.0,0.0,7.6,0.0,3.199999999999989
2025-09-09,26014,2,Depot,03:44:10,50.8,93.6,0.0,0.0,6.1,0.0,148.5
2025-09-10,26005,1,Depot,01:51:34,72.4,93.6,0.0,0.0,1.9,0.0,101.8
2025-09-10,26005,2,Depot,01:18:25,72.4,91.2,0.0,0.0,1.65,0.0,90.8
2025-09-10,26006,1,Depot,00:56:18,69.2,90.0,0.05,0.0,1.45,0.0,99.39999999999999
2025-09-10,26006,2,Depot,01:02:19,80.8,91.2,0.05,0.0,1.45,0.0,51.0
2025-09-10,26010,1,Depot,01:15:24,52.4,71.2,0.0,0.0,2.2,0.0,69.69999999999999
2025-09-10,26011,1,Depot,05:00:34,61.6,93.6,0.0,0.0,4.75,0.0,137.6
2025-09-10,26011,2,Depot,00:23:07,76.0,85.6,0.0,0.0,0.4,0.0,46.9
2025-09-10,26012,1,Depot,01:21:22,67.6,92.4,0.0,0.0,2.05,0.0,119.1
2025-09-10,26012,2,Depot,02:35:46,80.8,93.6,0.0,0.0,3.45,0.0,62.9
2025-09-10,26013,1,Depot,00:38:12,70.0,86.4,0.0,0.0,0.65,0.0,78.7
2025-09-10,26013,2,Depot,00:22:07,86.4,90.8,0.0,0.0,0.4,0.0,23.4
2025-09-10,26014,1,Depot,01:56:37,51.2,89.2,0.0,0.0,3.15,0.0,149.2
2025-09-11,26005,1,Depot,00:45:14,66.4,86.4,0.0,0.0,1.05,0.0,95.3
2025-09-11,26005,2,Depot,02:02:39,67.6,93.2,0.0,0.0,2.3,0.0,125.3
2025-09-11,26006,1,Depot,00:52:16,68.0,87.6,0.0,0.0,1.25,0.0,95.5
2025-09-11,26006,2,Depot,01:42:32,77.2,92.8,0.05,0.1,2.35,0.0,77.3
2025-09-11,26010,1,Depot,00:47:15,46.4,72.0,0.0,0.0,1.05,0.0,93.80000000000001
2025-09-11,26010,2,Depot,03:09:58,57.2,93.6,0.0,0.0,3.2,0.0,128.5
2025-09-11,26011,1,Depot,04:58:32,58.4,93.6,0.05,0.0,5.15,0.0,149.6
2025-09-11,26011,2,Depot,01:02:18,76.0,92.0,0.0,0.0,1.55,0.0,78.89999999999999
2025-09-11,26011,3,Depot,00:42:13,79.2,90.8,0.0,0.0,0.7,0.0,58.5
2025-09-11,26012,1,Depot,00:57:20,71.2,90.0,0.0,0.0,1.5,0.0,91.19999999999999
2025-09-11,26013,1,Depot,01:31:28,53.6,89.2,0.0,0.0,2.0,0.0,170.7
2025-09-11,26014,1,Depot,03:13:00,44.4,93.6,0.0,0.0,5.15,0.0,181.3
2025-09-12,26003,1,Depot,02:35:49,28.8,86.0,0.0,0.0,4.05,0.0,225.4
2025-09-12,26005,1,Depot,00:27:09,63.6,75.6,0.0,0.0,0.6499999999999999,0.0,57.1
2025-09-12,26005,2,Depot,03:24:03,66.0,93.6,0.0,0.0,3.6,0.0,122.8
2025-09-12,26006,1,Depot,04:45:28,68.8,93.6,0.1,0.0,6.75,0.0,113.7
2025-09-12,26010,1,Depot,01:38:31,74.0,92.8,0.0,0.05,1.85,0.0,84.39999999999999
2025-09-12,26011,1,Depot,00:18:05,74.8,82.8,0.0,0.0,0.35,0.0,38.5
2025-09-12,26012,1,Depot,04:26:15,60.8,93.6,0.0,0.0,6.2,0.0,151.7
2025-09-12,26012,2,Depot,01:23:03,68.4,92.4,0.0,0.0,2.05,0.0,115.3
2025-09-12,26013,1,Depot,04:42:26,62.0,93.6,0.0,0.0,4.25,0.0,154.4
2025-09-12,26014,1,Depot,02:10:41,42.8,87.6,0.0,0.0,3.55,0.0,168.1
2025-09-13,26003,1,Depot,07:31:20,39.2,93.6,0.0,0.0,7.85,0.0,227.8
2025-09-13,26005,1,Depot,07:52:26,76.8,93.6,0.05,0.0,9.45,0.0,77.1
2025-09-13,26010,1,Depot,07:20:16,48.8,93.6,0.05,3.25,9.95,0.0,172.6
2025-09-13,26011,1,Depot,06:56:09,64.0,93.6,0.05,0.0,6.7,0.0,143.8
2025-09-13,26014,1,Depot,07:51:26,72.4,93.6,0.0,0.0,11.25,0.0,77.10000000000001
2025-09-14,26003,1,Depot,09:34:56,93.6,93.6,0.05,0.0,8.9,0.0,1.099999999999994
2025-09-14,26005,1,Depot,00:26:08,93.6,93.6,0.0,0.0,0.5,0.0,0.2000000000000028
2025-09-14,26010,1,Depot,00:18:06,93.6,93.6,0.0,0.0,0.3499999999999996,0.0,0.2000000000000171
2025-09-14,26012,1,Depot,09:12:58,64.4,93.6,0.05,0.0,12.25,0.0,135.1
2025-09-14,26013,1,Depot,06:36:00,58.0,93.6,0.05,0.0,5.9,0.0,169.2
2025-09-14,26014,1,Depot,00:23:07,93.6,93.6,0.0,0.0,0.5,0.0,0.2000000000000028
2025-09-15,26006,1,Depot,03:54:13,55.2,93.2,0.15,0.05,5.45,0.0,161.8
2025-09-15,26010,1,Depot,00:05:01,62.0,64.0,0.05,0.0,0.2,1.5,5.300000000000001
2025-09-15,26012,1,Depot,02:32:06,56.8,91.2,0.0,0.05,3.55,0.0,165.8
2025-09-15,26013,1,Depot,05:20:37,93.6,93.6,0.05,0.0,4.149999999999999,0.0,0.09999999999999432
2025-09-15,26013,2,Depot,03:50:09,56.0,93.6,0.05,0.0,3.5,0.0,173.4
2025-09-15,26014,1,Depot,05:31:42,45.6,93.6,0.0,0.0,8.35,0.0,164.9
2025-09-16,26002,1,Depot,00:23:08,86.8,89.2,0.0,0.0,0.3999999999999999,0.0,11.0
2025-09-16,26002,2,Depot,01:04:21,72.8,91.6,0.0,0.0,1.4,0.0,92.5
2025-09-16,26002,3,Depot,00:49:17,80.4,89.6,0.0,0.0,1.0,0.0,44.8
2025-09-16,26003,1,Depot,00:12:04,58.4,64.0,0.0,0.0,0.4,0.5,21.3
2025-09-16,26003,2,Depot,01:37:31,45.6,88.0,0.0,0.9,3.2,2.25,187.1
2025-09-16,26005,1,Depot,01:16:24,49.2,83.2,0.0,0.0,2.1,0.0,160.2
2025-09-16,26005,2,Depot,02:45:50,65.2,93.6,0.0,0.0,3.25,0.0,121.4
2025-09-16,26006,1,Depot,00:20:06,93.2,93.2,0.0,0.0,0.4500000000000002,0.0,0.0
2025-09-16,26006,2,Depot,01:39:31,70.0,91.2,0.05,0.0,2.25,0.0,103.9
2025-09-16,26010,1,Depot,04:20:21,24.0,93.6,0.05,0.0,4.600000000000001,0.0,248.6
2025-09-16,26010,2,Depot,02:14:42,47.6,89.6,0.0,0.0,2.8,0.0,109.8
2025-09-16,26011,1,Depot,00:20:05,94.0,93.6,0.0,0.0,0.2999999999999998,0.0,0.2999999999999829
2025-09-16,26011,2,Depot,01:00:20,60.8,84.8,0.0,0.0,1.2,0.0,112.2
2025-09-16,26012,1,Depot,00:22:21,91.2,93.6,0.0,0.0,0.4499999999999997,0.0,0.1999999999999886
2025-09-16,26012,2,Depot,01:48:35,64.8,90.0,0.0,0.0,2.15,0.0,121.3
2025-09-16,26013,1,Depot,02:20:41,50.8,92.8,0.05,0.0,2.7,0.0,198.9
2025-09-16,26014,1,Depot,00:05:02,93.6,93.6,0.0,0.0,0.1000000000000014,0.0,0.09999999999999432
2025-09-16,26014,2,Depot,03:03:57,48.8,93.6,0.0,0.0,5.25,0.0,157.6
2025-09-17,26003,1,Depot,05:05:36,61.2,93.6,0.0,0.0,4.95,0.0,116.0
2025-09-17,26005,1,Depot,02:12:41,71.6,91.6,0.0,0.0,2.3,0.0,97.7
2025-09-17,26006,1,Depot,01:42:32,61.6,90.4,0.05,0.0,2.85,1.85,137.7
2025-09-17,26010,1,Depot,02:13:41,50.0,92.4,0.0,0.0,3.1,0.0,161.9
2025-09-17,26011,1,Depot,00:54:20,72.0,89.2,0.05,0.0,1.0,0.0,84.30000000000001
2025-09-17,26012,1,Depot,02:16:40,47.6,88.4,0.0,0.0,3.75,2.2,194.0
2025-09-17,26013,1,Depot,03:16:00,69.2,93.6,0.05,0.0,2.85,0.0,119.2
2025-09-17,26014,1,Depot,03:14:00,48.8,93.2,0.0,0.0,5.5,2.2,169.5
2025-09-18,26002,1,Depot,01:43:36,53.6,88.0,0.0,0.0,2.35,0.0,164.6
2025-09-18,26003,1,Depot,04:48:29,48.4,93.6,0.0,0.0,5.4,0.0,193.6
2025-09-18,26003,2,Depot,01:28:28,51.6,91.2,0.0,0.0,1.8,0.0,172.7
2025-09-18,26005,1,Depot,01:55:37,73.6,92.8,0.0,0.0,2.35,0.0,95.0
2025-09-18,26005,2,Depot,02:49:53,93.6,93.6,0.05,0.0,2.75,0.0,1.3
2025-09-18,26006,1,Depot,01:08:22,64.8,89.6,0.0,0.0,1.65,0.0,121.4
