Date,Bus,ID,Duration,Start Time,End Time,Air Compressor Energy [kWh],Rear HVAC Energy [kWh],LV Access. Energy [kWh],Electric Heater Energy [kWh],Traction Energy [kWh],Energy Used [kWh],Mileage [miles],Average Speed [mph],SOC Start [%],SOC End [%],Regen Energy [kWh],Regen Ratio,Net Energy Consumption [kWh/mile],Average Power Consumption [kW],Average Temperature [°F]
2025-09-02,26003,1,05:46:49,05:40 AM,11:27 AM,8.700000000000001,3.95,12.95,31.55,65.6,119.7,52.19516399999702,9.029871228794716,90.0,56.8,56.5,0.3206583427922815,2.293315909497034,20.70834734970445,65.56011560693645
2025-09-02,26003,2,01:30:28,12:30 PM,02:01 PM,2.15,2.149999999999999,2.699999999999999,0.0,17.3,24.09999999999999,15.45660362499621,10.25124779844995,55.2,48.0,16.50000000000001,0.4064039408866997,1.55920411655157,15.98378776713338,75.57582417582412
2025-09-02,26005,1,00:59:19,12:35 PM,01:34 PM,0.9500000000000001,0.0,1.45,0.0,8.999999999999996,11.1,8.85453674999735,8.95654180949437,70.8,68.4,7.3,0.3967391304347826,1.253594661516688,11.22787299803315,74.96000000000001
2025-09-02,26005,2,03:08:59,04:31 PM,07:40 PM,3.85,9.2,6.949999999999999,0.0,36.3,58.0,29.51512250000087,9.370706499691607,67.2,53.6,36.6,0.3868921775898521,1.965094334268756,18.41432225063939,75.07619047619046
2025-09-02,26006,1,00:08:02,06:45 AM,06:53 AM,0.09999999999999998,0.0,0.3999999999999999,0.6999999999999993,3.2,4.300000000000001,2.640826749993721,19.72401721987012,83.6,82.8,1.6,0.2711864406779661,1.628277962577524,32.11618257261411,55.39999999999999
2025-09-02,26006,2,06:40:05,07:05 AM,01:45 PM,6.0,2.3,12.85,3.05,60.2,84.5,60.11764425000001,9.01576835242658,82.4,64.0,52.2,0.3818580833942941,1.405577365084461,12.67235992501562,69.24962406015055
2025-09-02,26006,3,03:58:14,03:04 PM,07:02 PM,4.100000000000001,4.75,8.649999999999999,0.0,30.4,50.9,33.70937674999732,8.489838834475329,90.4,79.6,29.5,0.3669154228855721,1.509965621064295,12.81936476843431,76.22100840336137
2025-09-02,26006,4,04:23:22,07:34 PM,11:58 PM,3.5,0.1500000000000004,7.65,0.0,31.7,43.09999999999999,38.91335887499736,8.865212754713992,79.2,70.0,27.3,0.3877840909090909,1.107588788170446,9.819010251866851,61.78244274809165
2025-09-02,26008,1,03:12:00,07:46 AM,10:58 AM,2.8,0.0,4.449999999999999,0.0,43.20000000000001,49.3,39.69007262500236,12.40314769531324,91.6,80.8,31.1,0.3868159203980099,1.242124207375321,15.40625,68.93298429319375
2025-09-02,26008,2,02:55:14,12:00 PM,02:55 PM,2.15,4.25,4.8,0.0,27.7,39.6,34.40841912500036,11.7814636532244,80.0,69.6,22.9,0.3664,1.150881121743473,13.55906410500285,78.42758620689645
